event-id,visible,timestamp,location-long,location-lat,acceleration-x,acceleration-y,acceleration-z,gps:activity-count,comments,external-temperature,gps:satellite-count,ground-speed,gsm:gsm-signal-strength,height-above-ellipsoid,import-marked-outlier,tag-voltage,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
5975614725,TRUE,00:00.0,-121.938399,38.1098,,,,,SIMP02,30,,,,,FALSE,4160,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh"
5975614726,TRUE,00:00.0,-121.938366,38.1098,,,,,SIMP02,19,,,,,FALSE,4160,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh"
5975614727,TRUE,02:00.0,-121.938433,38.109783,,,,,SIMP02,45,,,,,FALSE,4130,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh"
5975614728,TRUE,00:00.0,-121.938433,38.109833,,,,,SIMP02,51,,,,,FALSE,4130,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh"
5975614729,TRUE,00:00.0,-121.938383,38.109783,,,,,SIMP02,51,,,,,FALSE,4130,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh"
5975614730,TRUE,00:00.0,-121.938949,38.1115,,,,,SIMP02,23,,,,,FALSE,4130,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh"
5989765630,TRUE,00:00.0,-121.937716,38.10925,,,,,SIMP02,19,,,,,FALSE,4070,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh"
5989765631,TRUE,00:00.0,-121.938433,38.109983,,,,,SIMP02,16,,,,,FALSE,4070,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh"
5989765632,TRUE,00:00.0,-121.938366,38.109616,,,,,SIMP02,15,,,,,FALSE,4070,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh"
5989765633,TRUE,00:00.0,-121.938366,38.109533,,,,,SIMP02,14,,,,,FALSE,4070,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh"
5989765626,TRUE,03:00.0,-121.938233,38.1097,,,,,SIMP02,39,,,,,FALSE,4140,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh"
5989765627,TRUE,00:00.0,-121.938366,38.10955,,,,,SIMP02,46,,,,,FALSE,4140,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh"
5989765628,TRUE,00:00.0,-121.938449,38.109833,,,,,SIMP02,50,,,,,FALSE,4140,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh"
5989765629,TRUE,00:00.0,-121.938416,38.1098,,,,,SIMP02,49,,,,,FALSE,4140,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh"
5989765622,TRUE,04:00.0,-121.938399,38.1098,,,,,SIMP02,36,,,,,FALSE,4150,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh"
5989765623,TRUE,00:00.0,-121.938349,38.1098,,,,,SIMP02,17,,,,,FALSE,4150,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh"
5989765624,TRUE,00:00.0,-121.938516,38.10995,,,,,SIMP02,14,,,,,FALSE,4150,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh"
5989765625,TRUE,00:00.0,-121.938416,38.10985,,,,,SIMP02,17,,,,,FALSE,4150,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh"
5995109164,TRUE,06:00.0,-121.938383,38.109783,,,,,SIMP02,17,,,,,FALSE,4130,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh"
5995109165,TRUE,00:00.0,-121.938016,38.109916,,,,,SIMP02,22,,,,,FALSE,4130,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh"
5995109166,TRUE,00:00.0,-121.938433,38.109183,,,,,SIMP02,49,,,,,FALSE,4130,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh"
5995109167,TRUE,00:00.0,-121.938449,38.109816,,,,,SIMP02,49,,,,,FALSE,4130,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh"
5995109160,TRUE,02:00.0,-121.938399,38.109833,,,,,SIMP02,51,,,,,FALSE,4140,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh"
5995109161,TRUE,00:00.0,-121.938416,38.109783,,,,,SIMP02,29,,,,,FALSE,4140,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh"
5995109162,TRUE,00:00.0,-121.938316,38.1098,,,,,SIMP02,21,,,,,FALSE,4140,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh"
5995109163,TRUE,00:00.0,-121.938433,38.109933,,,,,SIMP02,14,,,,,FALSE,4140,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh"
6010080858,TRUE,13:00.0,-121.938466,38.109916,,,,,SIMP02,45,,,,,FALSE,4120,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh"
6010080859,TRUE,00:00.0,-121.938483,38.109816,,,,,SIMP02,25,,,,,FALSE,4120,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh"
6010080860,TRUE,00:00.0,-121.939133,38.11025,,,,,SIMP02,20,,,,,FALSE,4120,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh"
6010080861,TRUE,00:00.0,-121.938449,38.109916,,,,,SIMP02,16,,,,,FALSE,4120,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh"
6010080862,TRUE,02:00.0,-121.938516,38.109883,,,,,SIMP02,16,,,,,FALSE,4060,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh"
6010080863,TRUE,00:00.0,-121.938199,38.10965,,,,,SIMP02,16,,,,,FALSE,4060,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh"
6010080864,TRUE,00:00.0,-121.938433,38.109566,,,,,SIMP02,14,,,,,FALSE,4060,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh"
6010080865,TRUE,00:00.0,-121.938266,38.109333,,,,,SIMP02,17,,,,,FALSE,4060,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh"
6012234898,TRUE,00:00.0,-121.938349,38.109716,,,,,SIMP02,24,,,,,FALSE,4060,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh"
6012234899,TRUE,00:00.0,-121.938233,38.1097,,,,,SIMP02,21,,,,,FALSE,4060,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh"
6012234900,TRUE,00:00.0,-121.938366,38.109483,,,,,SIMP02,40,,,,,FALSE,4060,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh"
6012234901,TRUE,00:00.0,-121.938383,38.109483,,,,,SIMP02,45,,,,,FALSE,4060,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh"
