x,y
688191.0493,5145467.287
688228.6908,5145453.551
688190.9942,5145469.065
688111.6967,5145464.827
688179.816,5145457.596
688190.633,5145522.882
688171.2279,5145444.429
688240.2195,5145535.542
688191.2216,5145461.731
688071.9314,5145217.027
688193.6429,5145465.476
688197.253,5145473.04
688193.4707,5145471.032
688219.8069,5145368.083
688190.1464,5145454.246
688196.141,5145469.224
688193.5292,5145469.143
688193.1262,5145482.143
688194.9488,5145465.517
688194.6629,5145474.739
688190.9357,5145470.953
688197.3115,5145471.151
688188.6315,5145463.43
688196.141,5145469.224
688195.9102,5145476.668
688193.5292,5145469.143
688193.5292,5145469.143
688193.5843,5145467.365
688199.2344,5145493.454
688221.549,5145475.573
688194.6629,5145474.739
688201.211,5145469.381
688192.183,5145472.883
688201.0939,5145473.159
688350.1842,5145542.623
688193.5292,5145469.143
688193.357,5145474.699
688196.0239,5145473.002
688220.171,5145520.017
688194.9488,5145465.517
688193.4707,5145471.032
688201.1524,5145471.27
688197.5974,5145461.929
688197.3115,5145471.151
688192.2416,5145470.994
688195.8517,5145478.557
688193.4121,5145472.921
688195.9102,5145476.668
688202.0136,5145443.493
688193.2984,5145476.588
688193.4121,5145472.921
688198.5038,5145474.858
688196.0239,5145473.002
688196.9671,5145482.262
688194.7766,5145471.072
688371.6881,5145469.108
688326.2642,5145406.529
688363.8891,5145472.647
688227.44,5145451.732
688371.7433,5145467.33
688228.818,5145407.288
688378.0339,5145348.857
688227.6293,5145403.47
688415.1851,5145472.349
688230.8715,5145383.218
688231.2979,5145409.145
688320.2699,5145391.551
688268.9455,5145477.042
688320.3285,5145389.662
688323.3628,5145415.781
688320.2699,5145391.551
688228.7179,5145368.359
688325.6477,5145384.267
688321.2897,5145400.814
688239.7689,5145426.09
688306.3844,5145385.56
688363.5464,5145278.006
688227.6059,5145364.543
688231.6743,5145357.329
688409.4843,5145242.285
688414.98,5145312.968
688414.4588,5145248.001
688410.7902,5145242.326
688412.0375,5145244.255
688413.2667,5145244.293
688410.7316,5145244.215
688408.1965,5145244.136
688389.3948,5145230.54
688383.6134,5145250.825
688410.6178,5145247.881
688182.8091,5145442.897
688408.1379,5145246.025
688385.8037,5145262.014
688410.8454,5145240.548
688385.8623,5145260.126
688398.1336,5145236.372
688410.8454,5145240.548
688372.593,5145276.396
