x,y
350273.9427,4773349.637
350269.5929,4773214.514
350296.9786,4773226.913
350219.3345,4773335.947
350285.5406,4773321.605
350889.0937,4772191.761
350126.802,4773449.087
350189.7506,4773408.817
350229.9948,4773387.6
350257.7497,4773294.438
350224.6652,4773330.275
350263.2827,4773297.983
350266.2925,4773312.695
350228.3295,4773311.75
350243.6259,4773392.856
350234.9623,4773306.049
350238.1782,4773267.091
350248.3483,4773296.422
350248.5531,4773305.751
350273.577,4773332.979
350255.3883,4773309.267
350238.9095,4773300.407
350306.0087,4773267.38
350254.0048,4773309.298
350255.3883,4773309.267
350255.3883,4773309.267
350253.9633,4773307.41
350254.0048,4773309.298
350254.0048,4773309.298
350246.0312,4773253.919
350255.3078,4773305.603
350254.0048,4773309.298
350252.6612,4773307.438
350174.5777,4773274.043
350251.2777,4773307.469
350251.441,4773314.909
350252.7027,4773309.326
350267.8807,4773321.993
350260.9213,4773312.813
350226.9471,4773248.783
350252.7441,4773311.214
350292.7429,4773278.782
350265.3175,4773268.273
350215.7565,4773295.36
350294.9022,4773254.735
350163.9589,4773161.28
350242.8994,4773233.655
350254.0048,4773309.298
350257.6278,4773288.886
350265.6831,4773284.931
350254.0462,4773311.186
350253.9243,4773305.633
350271.749,4773249.688
