x,y
345590.5938,4742608.601
345163.47,4743375.485
345164.8596,4743375.454
345205.5793,4742883.896
345156.5608,4743370.085
345374.6934,4742948.538
345231.661,4743316.622
345246.9686,4743269.947
345495.8552,4742636.613
345075.5149,4743464.57
345452.6176,4742656.138
345244.7702,4743292.217
345663.3366,4742569.862
345304.372,4743214.993
345181.8612,4742858.43
345313.1534,4742877.702
345158.0032,4743194.172
345179.0819,4742858.493
345273.3633,4742926.815
345440.5199,4742663.742
345483.6131,4742579.446
345625.1997,4742692.932
345471.5176,4742587.161
345443.384,4742667.455
345443.3417,4742665.567
345489.0504,4742577.546
345214.1029,4742837.373
345516.1882,4742573.16
345183.0868,4742854.736
345182.1957,4742873.311
345028.8199,4743024.864
344989.2224,4742657.217
345027.7271,4742856.341
345455.6462,4742667.18
345422.1766,4742575.269
345471.4354,4742583.497
345595.9465,4742602.926
345515.1716,4742586.182
345515.2139,4742588.07
345602.5649,4742595.333
345516.5219,4742588.041
345181.8612,4742858.43
345598.6442,4742602.865
345419.4826,4742695.768
345510.8575,4742638.165
345597.4607,4742608.447
345516.4796,4742586.153
345516.4796,4742586.153
345061.2677,4743013.023
345180.514,4742860.349
344996.4563,4742557.059
344933.2241,4742654.811
345439.2543,4742665.659
345437.8645,4742665.69
344980.9714,4742959.277
345440.6445,4742669.294
345633.7289,4742646.521
345180.5564,4742862.237
345455.3547,4742654.187
345452.4931,4742650.585
345425.8939,4742678.958
345452.6176,4742656.138
345522.8907,4742565.677
345516.4372,4742584.265
345448.3826,4742587.681
345448.4455,4742652.454
345164.2072,4742862.605
345443.2993,4742663.68
345412.4065,4742686.594
346211.0171,4742735.38
345452.5329,4742652.362
345451.225,4742652.391
345441.1029,4742689.728
345453.965,4742654.219
345452.5753,4742654.25
345515.2139,4742588.07
345516.3974,4742582.488
345297.147,4742591.075
345408.4228,4742629.353
345451.3097,4742656.167
345516.3974,4742582.488
345451.225,4742652.391
345449.7107,4742646.87
345444.6073,4742663.65
345450.0445,4742661.751
345455.4369,4742657.852
345519.259,4742586.091
345449.9199,4742656.198
345448.3209,4742646.901
345451.1004,4742646.839
345449.7954,4742650.646
345448.3633,4742648.789
345449.6284,4742643.205
345452.5753,4742654.25
345440.5199,4742663.742
345452.2838,4742641.257
345447.3045,4742659.923
345448.3633,4742648.789
345452.4507,4742648.697
345448.5302,4742656.229
345451.3495,4742657.944
345451.225,4742652.391
345447.2223,4742656.259
345447.0553,4742648.818
345451.2673,4742654.279
345666.5924,4742653.118
345449.8776,4742654.31
345448.3633,4742648.789
345451.225,4742652.391
345448.4455,4742652.454
345449.7954,4742650.646
