x,y
499212.3234,7665183.73
499231.5578,7665191.195
499213.6374,7665183.73
499212.3246,7665187.521
499211.6447,7665178.155
499210.969,7665181.946
499212.9611,7665185.625
499165.8636,7665206.047
499221.5962,7665168.897
499212.9611,7665185.625
499037.8265,7665347.372
499282.0216,7665241.357
499217.621,7665189.304
499213.6368,7665181.945
499209.6562,7665185.626
499210.9672,7665176.371
499215.6271,7665180.049
499214.3143,7665183.729
499384.1829,7665205.982
499212.3228,7665181.946
499139.2923,7665168.924
499214.3143,7665183.729
499223.5925,7665185.622
499208.9781,7665181.947
499209.6562,7665185.626
499213.6356,7665178.154
499216.3058,7665185.624
499211.6465,7665183.73
499218.9338,7665185.623
499212.9599,7665181.946
499215.6289,7665185.625
499217.6192,7665183.728
499211.6459,7665181.946
499140.6193,7665092.765
499211.6453,7665180.051
499214.9514,7665183.729
499214.952,7665185.625
499215.6277,7665181.945
499212.9593,7665180.05
499212.9611,7665185.625
499210.969,7665181.946
499213.6386,7665187.521
499212.3228,7665181.946
499212.9611,7665185.625
499214.3149,7665185.625
499214.3143,7665183.729
499211.6447,7665178.155
499212.324,7665185.626
499214.952,7665185.625
499216.3046,7665181.945
499213.632,7665167.004
499220.287,7665183.727
499214.9508,7665181.945
499222.2536,7665107.568
499211.6465,7665183.73
499212.3234,7665183.73
499210.969,7665181.946
499213.638,7665185.625
499213.6362,7665180.05
499214.9496,7665178.154
499212.3228,7665181.946
499212.9599,7665181.946
499212.9611,7665185.625
499210.9708,7665187.522
499212.3216,7665178.155
499212.3228,7665181.946
499212.9599,7665181.946
499212.9581,7665176.37
499214.9502,7665180.049
499214.3137,7665181.945
499207.6647,7665183.732
499214.3131,7665180.05
499211.6453,7665180.051
499212.3228,7665181.946
499212.3222,7665180.05
499212.9599,7665181.946
499214.3143,7665183.729
499215.6277,7665181.945
499214.3137,7665181.945
499204.9964,7665181.948
499212.9593,7665180.05
499214.952,7665185.625
499212.3234,7665183.73
499212.9593,7665180.05
499215.6277,7665181.945
499211.6447,7665178.155
499213.6362,7665180.05
499211.6465,7665183.73
499212.9605,7665183.73
499212.9599,7665181.946
499213.6368,7665181.945
499211.6465,7665183.73
499217.6168,7665176.369
499214.3143,7665183.729
499076.9105,7665098.364
499214.3137,7665181.945
