FID,OBJECTID,timestamp,long,lat,accelerati,accelera1,accelera2,activity_c,comments,external_t,satellite_,speed,gsm_signal,height,import_mar,tag_voltag,sensor_typ,individual,tag_ident,ind_ident,study_name,date,time,OBJECTID_1,NVCSName,NVCSLevel,MapClass,MapClassCo,Original_2,Original_1,Cov_2015,Dist_2015,Ht_2015,Notes_2015,ID_2015,Habitat,MgmtRegion,Lepidium,CalVegName,CalVegCode,CWHRType,CWHRCode,GlobalRank,StateRank,Rare,CaCode,NVCSAllian,NVCSGroup,NVCSMG,UID,Acres,Hectares,Shape_Leng,Shape_Area
0,2038,2019-07-17 21:00:00,-121.986249,38.169782,0,0,0,0,SIMP01,31,0,0,0,0,0,4160,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,4252,Barren, ,Bare Ground Mapping Unit,1,Bare Ground mu,1,2-10%,Not evident,0.5-1m,Incl submmus open water,Photo interpretation,Leveed (not tidal),4,Absent,Barren,BA,Barren,BAR, , , , , , , ,SUMA04252,5.895999908,2.386029959,1645.55295,23858.3216
1,586,2018-07-21 04:00:00,-122.038383,38.212,0,0,0,0,SIMP01,27,0,0,0,0,0,4070,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,11849,"Typha (angustifolia, domingensis, latifolia)",Alliance,"Typha (angustifolia, latifolia, domingensis) Herbaceous Alliance",7111100,"Typha (angustifolia, latifolia, domingensis)-Schoenoplectus americanus Association",121,50-75%,Not evident,1-2m, ,Photo interpretation,Tidal,2,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S5,N,52.050.00,"Typha (angustifolia, domingensis, latifolia)",Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA11849,4.701169968,1.902500033,715.4237386,19023.84219
2,599,2018-07-22 04:00:00,-122.038683,38.212033,0,0,0,0,SIMP01,25,0,0,0,0,0,4090,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,11849,"Typha (angustifolia, domingensis, latifolia)",Alliance,"Typha (angustifolia, latifolia, domingensis) Herbaceous Alliance",7111100,"Typha (angustifolia, latifolia, domingensis)-Schoenoplectus americanus Association",121,50-75%,Not evident,1-2m, ,Photo interpretation,Tidal,2,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S5,N,52.050.00,"Typha (angustifolia, domingensis, latifolia)",Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA11849,4.701169968,1.902500033,715.4237386,19023.84219
3,600,2018-07-22 12:00:00,-122.038699,38.212233,0,0,0,0,SIMP01,30,0,0,0,0,0,4090,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,11849,"Typha (angustifolia, domingensis, latifolia)",Alliance,"Typha (angustifolia, latifolia, domingensis) Herbaceous Alliance",7111100,"Typha (angustifolia, latifolia, domingensis)-Schoenoplectus americanus Association",121,50-75%,Not evident,1-2m, ,Photo interpretation,Tidal,2,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S5,N,52.050.00,"Typha (angustifolia, domingensis, latifolia)",Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA11849,4.701169968,1.902500033,715.4237386,19023.84219
4,824,2018-10-17 02:00:00,-122.039216,38.211916,0,0,0,0,SIMP01,25,0,0,0,0,0,3820,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,11849,"Typha (angustifolia, domingensis, latifolia)",Alliance,"Typha (angustifolia, latifolia, domingensis) Herbaceous Alliance",7111100,"Typha (angustifolia, latifolia, domingensis)-Schoenoplectus americanus Association",121,50-75%,Not evident,1-2m, ,Photo interpretation,Tidal,2,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S5,N,52.050.00,"Typha (angustifolia, domingensis, latifolia)",Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA11849,4.701169968,1.902500033,715.4237386,19023.84219
5,825,2018-10-17 03:00:00,-122.038583,38.211783,0,0,0,0,SIMP01,31,0,0,0,0,0,3820,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,11849,"Typha (angustifolia, domingensis, latifolia)",Alliance,"Typha (angustifolia, latifolia, domingensis) Herbaceous Alliance",7111100,"Typha (angustifolia, latifolia, domingensis)-Schoenoplectus americanus Association",121,50-75%,Not evident,1-2m, ,Photo interpretation,Tidal,2,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S5,N,52.050.00,"Typha (angustifolia, domingensis, latifolia)",Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA11849,4.701169968,1.902500033,715.4237386,19023.84219
6,826,2018-10-17 04:00:00,-122.039033,38.211883,0,0,0,0,SIMP01,29,0,0,0,0,0,3820,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,11849,"Typha (angustifolia, domingensis, latifolia)",Alliance,"Typha (angustifolia, latifolia, domingensis) Herbaceous Alliance",7111100,"Typha (angustifolia, latifolia, domingensis)-Schoenoplectus americanus Association",121,50-75%,Not evident,1-2m, ,Photo interpretation,Tidal,2,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S5,N,52.050.00,"Typha (angustifolia, domingensis, latifolia)",Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA11849,4.701169968,1.902500033,715.4237386,19023.84219
7,827,2018-10-17 12:02:00,-122.039016,38.212166,0,0,0,0,SIMP01,29,0,0,0,0,0,3800,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,11849,"Typha (angustifolia, domingensis, latifolia)",Alliance,"Typha (angustifolia, latifolia, domingensis) Herbaceous Alliance",7111100,"Typha (angustifolia, latifolia, domingensis)-Schoenoplectus americanus Association",121,50-75%,Not evident,1-2m, ,Photo interpretation,Tidal,2,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S5,N,52.050.00,"Typha (angustifolia, domingensis, latifolia)",Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA11849,4.701169968,1.902500033,715.4237386,19023.84219
8,828,2018-10-17 13:00:00,-122.038866,38.212016,0,0,0,0,SIMP01,26,0,0,0,0,0,3800,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,11849,"Typha (angustifolia, domingensis, latifolia)",Alliance,"Typha (angustifolia, latifolia, domingensis) Herbaceous Alliance",7111100,"Typha (angustifolia, latifolia, domingensis)-Schoenoplectus americanus Association",121,50-75%,Not evident,1-2m, ,Photo interpretation,Tidal,2,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S5,N,52.050.00,"Typha (angustifolia, domingensis, latifolia)",Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA11849,4.701169968,1.902500033,715.4237386,19023.84219
9,2009,2019-07-15 04:00:00,-122.039116,38.21225,0,0,0,0,SIMP01,25,0,0,0,0,0,4060,gps,Circus cyaneus,48531192911,SIMP 01,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, ,11849,"Typha (angustifolia, domingensis, latifolia)",Alliance,"Typha (angustifolia, latifolia, domingensis) Herbaceous Alliance",7111100,"Typha (angustifolia, latifolia, domingensis)-Schoenoplectus americanus Association",121,50-75%,Not evident,1-2m, ,Photo interpretation,Tidal,2,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S5,N,52.050.00,"Typha (angustifolia, domingensis, latifolia)",Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA11849,4.701169968,1.902500033,715.4237386,19023.84219
