FID,OBJECTID,timestamp,long,lat,accelerati,accelera1,accelera2,activity_c,comments,external_t,satellite_,speed,gsm_signal,height,import_mar,tag_voltag,sensor_typ,individual,tag_ident,ind_ident,study_name,date,time,Veg,OBJECTID_1,NVCSName,NVCSLevel,MapClass,MapClassCo,Original_2,Original_1,Cov_2015,Dist_2015,Ht_2015,Notes_2015,ID_2015,Habitat,MgmtRegion,Lepidium,CalVegName,CalVegCode,CWHRType,CWHRCode,GlobalRank,StateRank,Rare,CaCode,NVCSAllian,NVCSGroup,NVCSMG,UID,Acres,Hectares,Shape_Leng,Shape_Area
0,857,2018-07-15 00:00:00,-121.942083,38.112466,0,0,0,0,SIMP02,38,0,0,0,0,0,4160,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,1,Distichlis spicata - Juncus arcticus var. balticus (J. arcticus var. mexicanus),Association,Distichlis spicata - Juncus arcticus var. balticus (J. arcticus var. mexicanus) Association,8111203,Distichlis spicata-Juncus balticus Association,145,25-50%,Not evident,0.5-1m, ,Photo interpretation,Leveed (not tidal),4,Absent,Pickleweed-Cordgrass,HC,Saline Emergent Wetland,SEW, , ,N,41.200.05,Distichlis spicata,Temperate Pacific tidal salt and brackish meadow,North American Pacific Coastal Salt Marsh,SUMA00001,0.790708005,0.319988012,391.468421,3199.511517
1,1199,2018-08-29 00:00:00,-121.942616,38.112966,0,0,0,0,SIMP02,25,0,0,0,0,0,4130,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,1,Distichlis spicata - Juncus arcticus var. balticus (J. arcticus var. mexicanus),Association,Distichlis spicata - Juncus arcticus var. balticus (J. arcticus var. mexicanus) Association,8111203,Distichlis spicata-Juncus balticus Association,145,25-50%,Not evident,0.5-1m, ,Photo interpretation,Leveed (not tidal),4,Absent,Pickleweed-Cordgrass,HC,Saline Emergent Wetland,SEW, , ,N,41.200.05,Distichlis spicata,Temperate Pacific tidal salt and brackish meadow,North American Pacific Coastal Salt Marsh,SUMA00001,0.790708005,0.319988012,391.468421,3199.511517
2,69,2018-05-24 14:00:00,-121.939399,38.110733,0,0,0,0,SIMP02,17,0,0,0,0,0,4060,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,2,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,25-50%,Medium,2-5m,"E160623EMostly dead Phragmites, some Typha",Field Checked (post map),Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA00002,5.140610218,2.080329895,1510.143278,20800.9097
3,138,2018-05-28 23:00:00,-121.938716,38.110716,0,0,0,0,SIMP02,50,0,0,0,0,0,4160,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,2,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,25-50%,Medium,2-5m,"E160623EMostly dead Phragmites, some Typha",Field Checked (post map),Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA00002,5.140610218,2.080329895,1510.143278,20800.9097
4,173,2018-05-31 00:00:00,-121.938716,38.11085,0,0,0,0,SIMP02,22,0,0,0,0,0,4170,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,2,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,25-50%,Medium,2-5m,"E160623EMostly dead Phragmites, some Typha",Field Checked (post map),Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA00002,5.140610218,2.080329895,1510.143278,20800.9097
5,219,2018-06-02 21:00:00,-121.938949,38.1106,0,0,0,0,SIMP02,55,0,0,0,0,0,4160,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,2,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,25-50%,Medium,2-5m,"E160623EMostly dead Phragmites, some Typha",Field Checked (post map),Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA00002,5.140610218,2.080329895,1510.143278,20800.9097
6,251,2018-06-04 19:00:00,-121.938749,38.110666,0,0,0,0,SIMP02,30,0,0,0,0,0,4160,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,2,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,25-50%,Medium,2-5m,"E160623EMostly dead Phragmites, some Typha",Field Checked (post map),Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA00002,5.140610218,2.080329895,1510.143278,20800.9097
7,252,2018-06-04 20:00:00,-121.939466,38.11015,0,0,0,0,SIMP02,43,0,0,0,0,0,4160,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,2,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,25-50%,Medium,2-5m,"E160623EMostly dead Phragmites, some Typha",Field Checked (post map),Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA00002,5.140610218,2.080329895,1510.143278,20800.9097
8,259,2018-06-05 03:00:00,-121.940233,38.111183,0,0,0,0,SIMP02,20,0,0,0,0,0,4170,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,2,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,25-50%,Medium,2-5m,"E160623EMostly dead Phragmites, some Typha",Field Checked (post map),Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA00002,5.140610218,2.080329895,1510.143278,20800.9097
9,264,2018-06-05 15:00:00,-121.940666,38.11145,0,0,0,0,SIMP02,19,0,0,0,0,0,4110,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,2,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,25-50%,Medium,2-5m,"E160623EMostly dead Phragmites, some Typha",Field Checked (post map),Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA00002,5.140610218,2.080329895,1510.143278,20800.9097
10,284,2018-06-06 18:00:00,-121.939483,38.110783,0,0,0,0,SIMP02,24,0,0,0,0,0,4170,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,2,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,25-50%,Medium,2-5m,"E160623EMostly dead Phragmites, some Typha",Field Checked (post map),Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA00002,5.140610218,2.080329895,1510.143278,20800.9097
11,289,2018-06-06 23:00:00,-121.939499,38.110133,0,0,0,0,SIMP02,23,0,0,0,0,0,4180,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,2,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,25-50%,Medium,2-5m,"E160623EMostly dead Phragmites, some Typha",Field Checked (post map),Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA00002,5.140610218,2.080329895,1510.143278,20800.9097
12,292,2018-06-07 02:00:00,-121.939316,38.11025,0,0,0,0,SIMP02,21,0,0,0,0,0,4180,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,2,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,25-50%,Medium,2-5m,"E160623EMostly dead Phragmites, some Typha",Field Checked (post map),Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA00002,5.140610218,2.080329895,1510.143278,20800.9097
13,302,2018-06-07 19:00:00,-121.939566,38.110166,0,0,0,0,SIMP02,25,0,0,0,0,0,4160,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,2,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,25-50%,Medium,2-5m,"E160623EMostly dead Phragmites, some Typha",Field Checked (post map),Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA00002,5.140610218,2.080329895,1510.143278,20800.9097
14,310,2018-06-08 03:00:00,-121.939566,38.110733,0,0,0,0,SIMP02,18,0,0,0,0,0,4070,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,2,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,25-50%,Medium,2-5m,"E160623EMostly dead Phragmites, some Typha",Field Checked (post map),Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA00002,5.140610218,2.080329895,1510.143278,20800.9097
15,319,2018-06-08 19:00:00,-121.939249,38.1103,0,0,0,0,SIMP02,42,0,0,0,0,0,4180,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,2,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,25-50%,Medium,2-5m,"E160623EMostly dead Phragmites, some Typha",Field Checked (post map),Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA00002,5.140610218,2.080329895,1510.143278,20800.9097
16,321,2018-06-08 21:00:00,-121.938749,38.1107,0,0,0,0,SIMP02,41,0,0,0,0,0,4130,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,2,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,25-50%,Medium,2-5m,"E160623EMostly dead Phragmites, some Typha",Field Checked (post map),Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA00002,5.140610218,2.080329895,1510.143278,20800.9097
17,336,2018-06-09 19:00:00,-121.939416,38.110183,0,0,0,0,SIMP02,41,0,0,0,0,0,4140,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,2,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,25-50%,Medium,2-5m,"E160623EMostly dead Phragmites, some Typha",Field Checked (post map),Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA00002,5.140610218,2.080329895,1510.143278,20800.9097
18,353,2018-06-11 03:00:00,-121.939666,38.11,0,0,0,0,SIMP02,18,0,0,0,0,0,4070,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,2,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,25-50%,Medium,2-5m,"E160623EMostly dead Phragmites, some Typha",Field Checked (post map),Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA00002,5.140610218,2.080329895,1510.143278,20800.9097
19,383,2018-06-12 23:00:00,-121.940299,38.111183,0,0,0,0,SIMP02,39,0,0,0,0,0,4170,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,2,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,25-50%,Medium,2-5m,"E160623EMostly dead Phragmites, some Typha",Field Checked (post map),Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA00002,5.140610218,2.080329895,1510.143278,20800.9097
20,393,2018-06-13 16:00:00,-121.940449,38.111166,0,0,0,0,SIMP02,23,0,0,0,0,0,4140,gps,Circus cyaneus,48531033701,SIMP 02,"Northern Harrier (Breeding), Suisun Marsh",2019-09-12, , ,2,Phragmites australis,Alliance,Phragmites australis Herbaceous Alliance,7111400,Phragmites australis Association,103,25-50%,Medium,2-5m,"E160623EMostly dead Phragmites, some Typha",Field Checked (post map),Leveed (not tidal),4,Absent,Tule-Cattail,HT,Fresh Emergent Wetland,FEW,G5,S4?,N,41.061.00,Phragmites australis,Arid West freshwater emergent marsh,Western North American Freshwater Marsh,SUMA00002,5.140610218,2.080329895,1510.143278,20800.9097
