x,y
594681.7847,4219004.627
594101.9035,4218824.757
594104.5397,4218828.174
594094.414,4218836.101
592868.2622,4219070.508
592865.5724,4219071.748
592866.8859,4219073.879
591542.7417,4218809.957
594684.859,4218970.373
596692.411,4219806.363
597092.8622,4219822.987
597019.1513,4219834.384
596689.6957,4219809.718
596921.0668,4220431.813
603829.1092,4231270.215
610063.8474,4241280.946
613944.1918,4254520.663
615243.7697,4268743.311
615353.6374,4287987.559
618072.0042,4306409.252
624072.5077,4322296.674
636855.5386,4337871.979
647530.3413,4348825.064
660991.7984,4364831.509
665023.8972,4380323.99
676654.0564,4395414.074
695037.9986,4407680.776
717814.9663,4408046.282
732059.1874,4398819.038
730663.6746,4398151.847
730664.3669,4398150.597
730663.6619,4398152.271
730893.8582,4398837.331
731632.2012,4400016.231
731639.4723,4400013.908
731634.8302,4400015.887
732829.6576,4402515.869
732197.5805,4404717.272
732008.1163,4405767.775
733504.5834,4408544.563
734901.886,4414362.921
739220.2351,4437684.896
732904.129,4453233.683
725537.4706,4465235.235
729046.7198,4471154.07
728177.7317,4470469.735
728680.8965,4470857.64
730954.0944,4470457.966
728924.2523,4471193.148
728378.6347,4470005.751
728411.5554,4470010.991
730850.6969,4470382.3
730852.0059,4470381.916
731341.884,4470081.61
731063.7086,4470078.557
731104.8663,4470111.192
731103.5833,4470110.729
731158.3697,4470100.97
731129.7637,4470334.929
731457.8154,4469666.369
731420.2578,4469706.33
731516.3681,4469639.772
731513.1278,4469639.673
731515.9028,4469633.823
731513.2322,4469636.285
731515.0981,4469638.885
731511.8055,4469640.48
731565.5773,4469432.307
731311.6776,4469377.431
731310.3945,4469376.967
731310.3293,4469379.085
731311.5863,4469380.395
731315.1007,4469371.602
731310.4988,4469373.579
731313.5306,4469380.455
731312.7912,4469383.4
731311.2212,4469392.253
731309.7464,4469376.948
731311.6776,4469377.431
731310.3162,4469379.508
731286.2363,4469360.963
729718.2748,4470910.503
729718.4562,4470904.574
729930.8176,4470895.39
731199.3973,4469990.323
730873.031,4470626.304
730974.1719,4469847.322
731085.7394,4470247.947
731061.8257,4470413.803
730893.6816,4470587.516
731298.6553,4470368.955
731298.7075,4470367.261
731286.6301,4470359.258
731305.0571,4470371.695
731284.3861,4470368.939
731312.2113,4470371.068
731300.5863,4470369.438
731301.2734,4470368.187
731308.3885,4470368.83
731297.9812,4470369.782
731292.2274,4470367.061
731296.7765,4470366.777
731191.0521,4470408.879
731188.5253,4470406.681
731201.7462,4470398.61
731191.7914,4470405.934
730615.5556,4470667.988
730361.6939,4470444.008
730362.2152,4470405.873
730360.9711,4470404.14
730677.0067,4470588.911
730594.0339,4470629.6
730906.2799,4470578.578
730905.023,4470577.268
730900.1485,4470588.139
730889.6827,4470548.819
731168.4916,4470320.013
728438.6481,4471358.932
728287.4369,4471277.185
729088.1811,4474765.63
733118.4128,4487902.366
737669.7858,4501546.394
741346.2236,4504947.183
735535.1435,4492893.284
732370.6208,4482396.131
730232,4471119.959
730875.9023,4469140.207
728124.0667,4470357.47
728203.3701,4470799.875
728268.171,4470567.011
728476.7236,4471386.372
728488.0509,4471397.738
728690.2297,4471062.239
729592.3009,4470427.651
729604.5087,4470410.22
729607.023,4470412.841
731017.3979,4470255.594
727984.5719,4470978.466
730855.6653,4467666.121
730820.9553,4467697.695
730350.3058,4468425.07
730569.1084,4468356.327
730703.2716,4468466.419
730779.4261,4468521.745
730779.4651,4468520.474
730861.9893,4471322.853
731153.8611,4470310.661
731153.1871,4470311.488
731303.1419,4470160.11
731301.1457,4470161.744
731303.1419,4470160.11
731301.8589,4470159.647
731303.1158,4470160.957
731300.6281,4470157.489
731301.6894,4470165.152
730562.3885,4469082.678
731103.9396,4470225.616
731108.6749,4470198.209
730961.7532,4470293.305
730943.3385,4470280.445
730393.9152,4470408.541
730386.3162,4470465.958
730386.8992,4470468.095
730560.5998,4468591.328
730887.5464,4468360.171
730242.155,4468715.09
730174.0497,4468015.698
730226.4755,4467405.626
731140.4857,4468236.539
731546.8537,4468229.55
732879.6771,4478292.786
735498.979,4499944.351
740365.4533,4525401.798
742966.667,4542326.159
751033.1568,4573000.743
254381.4283,4602176.561
274341.506,4628958.358
296339.3609,4659739.743
319424.2443,4688544.135
325357.2845,4711066.286
339159.6025,4734782.513
350558.5455,4766631.968
