event-id,visible,timestamp,location-long,location-lat,acceleration-raw-x,acceleration-raw-y,acceleration-raw-z,bar:barometric-height,battery-charge-percent,battery-charging-current,external-temperature,gps:hdop,gps:satellite-count,gps-time-to-fix,ground-speed,heading,height-above-msl,import-marked-outlier,gls:light-level,mag:magnetic-field-raw-x,mag:magnetic-field-raw-y,mag:magnetic-field-raw-z,manually-marked-outlier,orn:transmission-protocol,tag-voltage,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
10667694546,true,2019-06-15 00:11:35.000,-121.8843002319336,38.08716583251953,-171.0,-335.0,919.0,0.0,100,0.0,34.0,1.9,8,42.84,0.2777777777777778,296.0,-3.0,false,2047.0,0.464,0.7,0.071,,"GPRS",4176.0,"gps","Circus cyaneus","182830","NOHA 30.1","Northern Harrier (Wintering) Ornitela, Suisun Marsh"
10667694547,true,2019-06-15 00:41:04.000,-121.88407897949219,38.08708953857422,-254.0,348.0,797.0,0.0,100,0.0,32.0,1.7,7,12.01,0.2777777777777778,0.0,0.0,false,2047.0,-0.102,0.806,0.075,,"GPRS",4173.0,"gps","Circus cyaneus","182830","NOHA 30.1","Northern Harrier (Wintering) Ornitela, Suisun Marsh"
10667694548,true,2019-06-15 01:11:04.000,-121.88443756103516,38.08726501464844,-194.0,173.0,975.0,0.0,100,0.0,30.0,1.6,7,12.01,0.2777777777777778,0.0,-10.0,false,432.0,0.323,0.797,0.161,,"GPRS",4173.0,"gps","Circus cyaneus","182830","NOHA 30.1","Northern Harrier (Wintering) Ornitela, Suisun Marsh"
10667694549,true,2019-06-15 01:41:27.000,-121.88431549072266,38.087181091308594,-218.0,74.0,973.0,0.0,100,0.0,29.0,1.4,5,34.82,0.0,0.0,-7.0,false,368.0,0.332,0.776,0.17,,"GPRS",4170.0,"gps","Circus cyaneus","182830","NOHA 30.1","Northern Harrier (Wintering) Ornitela, Suisun Marsh"
10667694550,true,2019-06-15 02:11:00.000,-121.88433074951172,38.087158203125,-181.0,70.0,985.0,0.0,100,0.0,27.0,1.6,5,7.97,0.0,0.0,-3.0,false,64.0,-0.049,0.862,0.161,,"GPRS",4167.0,"gps","Circus cyaneus","182830","NOHA 30.1","Northern Harrier (Wintering) Ornitela, Suisun Marsh"
10667694551,true,2019-06-15 02:41:03.000,-121.8843765258789,38.0872688293457,-98.0,198.0,978.0,0.0,100,0.0,25.0,1.6,5,10.95,0.0,0.0,9.0,false,0.0,0.07,1.213,0.095,,"GPRS",4170.0,"gps","Circus cyaneus","182830","NOHA 30.1","Northern Harrier (Wintering) Ornitela, Suisun Marsh"
10667694552,true,2019-06-15 03:11:33.000,-121.8843765258789,38.087284088134766,-207.0,110.0,973.0,0.0,100,0.0,25.0,1.5,9,40.81,0.0,0.0,-6.0,false,0.0,0.09,0.772,0.163,,"GPRS",4167.0,"gps","Circus cyaneus","182830","NOHA 30.1","Northern Harrier (Wintering) Ornitela, Suisun Marsh"
10667694553,true,2019-06-15 03:41:00.000,-121.88428497314453,38.0872802734375,-228.0,61.0,962.0,0.0,100,0.0,24.0,1.3,8,7.97,0.0,0.0,-9.0,false,32.0,0.318,0.787,0.2,,"GPRS",4165.0,"gps","Circus cyaneus","182830","NOHA 30.1","Northern Harrier (Wintering) Ornitela, Suisun Marsh"
10667694554,true,2019-06-15 04:07:04.000,-121.8844985961914,38.087398529052734,-83.0,172.0,993.0,0.0,100,0.0,22.0,1.4,6,7.0,0.0,0.0,-47.0,false,0.0,-0.071,1.155,0.116,,"GPRS",4165.0,"gps","Circus cyaneus","182830","NOHA 30.1","Northern Harrier (Wintering) Ornitela, Suisun Marsh"
10672649455,true,2019-06-15 12:11:41.000,-121.88436889648438,38.08720016479492,-192.0,137.0,978.0,0.0,100,0.0,24.0,1.8,6,47.93,0.0,0.0,-10.0,false,0.0,0.164,0.749,0.166,,"GPRS",4156.0,"gps","Circus cyaneus","182830","NOHA 30.1","Northern Harrier (Wintering) Ornitela, Suisun Marsh"
10672649456,true,2019-06-15 12:41:01.000,-121.88430786132812,38.08740997314453,127.0,243.0,1313.0,0.0,98,0.0,18.0,1.5,6,8.22,5.277777777777778,292.0,18.0,false,384.0,0.1,0.5,0.0,,"GPRS",4137.0,"gps","Circus cyaneus","182830","NOHA 30.1","Northern Harrier (Wintering) Ornitela, Suisun Marsh"
