event-id,visible,timestamp,location-long,location-lat,acceleration-raw-x,acceleration-raw-y,acceleration-raw-z,bar:barometric-height,battery-charge-percent,battery-charging-current,external-temperature,gps:hdop,gps:satellite-count,gps-time-to-fix,ground-speed,heading,height-above-msl,import-marked-outlier,gls:light-level,mag:magnetic-field-raw-x,mag:magnetic-field-raw-y,mag:magnetic-field-raw-z,manually-marked-outlier,orn:transmission-protocol,tag-voltage,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
10518008840,true,2019-06-03 00:11:53.000,-121.99459838867188,38.19327926635742,11.0,-630.0,791.0,0.0,100,2.0,37.0,2.0,5,18.58,0.8333333333333333,0.0,-1.0,false,2047.0,-0.029,0.094,-0.008,,"GPRS",4181.0,"gps","Circus cyaneus","191628","NOHA 628","Northern Harrier (Breeding), Ornitela, Suisun Marsh"
10518008841,true,2019-06-03 01:13:04.000,-121.99600982666016,38.18997573852539,57.0,-586.0,827.0,0.0,100,5.0,27.0,2.2,4,90.01,0.0,0.0,-3.0,false,2047.0,-0.16,-0.314,0.08,,"GPRS",4179.0,"gps","Circus cyaneus","191628","NOHA 628","Northern Harrier (Breeding), Ornitela, Suisun Marsh"
10518008842,true,2019-06-03 01:42:11.000,-121.99124145507812,38.18369674682617,189.0,1375.0,457.0,0.0,100,5.0,29.0,1.1,6,36.58,0.2777777777777778,0.0,-2.0,false,2047.0,-0.606,-0.249,0.2,,"GPRS",4179.0,"gps","Circus cyaneus","191628","NOHA 628","Northern Harrier (Breeding), Ornitela, Suisun Marsh"
10518008843,true,2019-06-03 02:11:52.000,-121.99459838867188,38.193214416503906,121.0,4.0,1010.0,0.0,100,0.0,25.0,1.3,6,17.65,0.0,0.0,-1.0,false,400.0,-0.783,-0.037,0.209,,"GPRS",4179.0,"gps","Circus cyaneus","191628","NOHA 628","Northern Harrier (Breeding), Ornitela, Suisun Marsh"
10518008844,true,2019-06-03 02:42:03.000,-121.99459075927734,38.193424224853516,110.0,-159.0,988.0,0.0,100,0.0,22.0,1.5,5,28.58,0.0,0.0,-58.0,false,368.0,-0.564,0.153,0.246,,"GPRS",4173.0,"gps","Circus cyaneus","191628","NOHA 628","Northern Harrier (Breeding), Ornitela, Suisun Marsh"
10518008845,true,2019-06-03 03:12:03.000,-121.99459838867188,38.1933708190918,175.0,-128.0,993.0,0.0,100,0.0,24.0,1.2,6,28.57,0.0,0.0,-9.0,false,16.0,-0.478,0.135,0.256,,"GPRS",4170.0,"gps","Circus cyaneus","191628","NOHA 628","Northern Harrier (Breeding), Ornitela, Suisun Marsh"
10518008846,true,2019-06-03 03:41:48.000,-121.99458312988281,38.193416595458984,185.0,-432.0,890.0,0.0,100,0.0,23.0,1.3,6,13.59,0.0,0.0,5.0,false,96.0,-0.547,-0.041,0.276,,"GPRS",4168.0,"gps","Circus cyaneus","191628","NOHA 628","Northern Harrier (Breeding), Ornitela, Suisun Marsh"
10518008847,true,2019-06-03 04:01:33.000,-121.9946060180664,38.19336700439453,235.0,-110.0,982.0,0.0,100,0.0,23.0,1.2,7,33.6,0.0,0.0,0.0,false,16.0,-0.712,-0.008,0.257,,"GPRS",4165.0,"gps","Circus cyaneus","191628","NOHA 628","Northern Harrier (Breeding), Ornitela, Suisun Marsh"
10518008848,true,2019-06-03 12:13:21.000,-121.99456024169922,38.19329833984375,224.0,286.0,944.0,0.0,100,0.0,20.0,1.7,6,49.63,0.0,0.0,-29.0,false,16.0,-0.922,-0.057,0.137,,"GPRS",4151.0,"gps","Circus cyaneus","191628","NOHA 628","Northern Harrier (Breeding), Ornitela, Suisun Marsh"
10518008849,true,2019-06-03 12:42:41.000,-121.99465942382812,38.19331741333008,-34.0,282.0,975.0,0.0,95,0.0,21.0,1.9,6,9.67,0.0,0.0,-29.0,false,16.0,-0.938,0.113,0.155,,"GPRS",4121.0,"gps","Circus cyaneus","191628","NOHA 628","Northern Harrier (Breeding), Ornitela, Suisun Marsh"
