Bird_ID,Year,Landcover_Class,Probability
SIMP 02,2018,Planted/Cultivated,0.0003279810
SIMP 02,2018,Developed,0.0592181850
SIMP 02,2018,Wetlands,0.8413551094
SIMP 02,2018,Herbaceous,0.0904228090
SIMP 02,2018,Barren,0.0000000226
SIMP 02,2018,Water,0.0078010754
SIMP 02,2018,Shrubland,0.0000000000
SIMP 02,2018,Forest,0.0008748176
SIMP 01,2018,Planted/Cultivated,0.0021768430
SIMP 01,2018,Developed,0.0371950730
SIMP 01,2018,Wetlands,0.7181069230
SIMP 01,2018,Herbaceous,0.1720613010
SIMP 01,2018,Barren,0.0000043000
SIMP 01,2018,Water,0.0681059640
SIMP 01,2018,Shrubland,0.0000670000
SIMP 01,2018,Forest,0.0022826415
SIMP 07,2018,Planted/Cultivated,0.0009444950
SIMP 07,2018,Developed,0.0088917440
SIMP 07,2018,Wetlands,0.7462295500
SIMP 07,2018,Herbaceous,0.1976019140
SIMP 07,2018,Barren,0.0008296420
SIMP 07,2018,Water,0.0214164630
SIMP 07,2018,Shrubland,0.0000387000
SIMP 07,2018,Forest,0.0240474610
SIMP 10,2018,Planted/Cultivated,0.0004946390
SIMP 10,2018,Developed,0.0295321070
SIMP 10,2018,Wetlands,0.6422361640
SIMP 10,2018,Herbaceous,0.1255538730
SIMP 10,2018,Barren,0.0000000038
SIMP 10,2018,Water,0.1030269810
SIMP 10,2018,Shrubland,0.0000000000
SIMP 10,2018,Forest,0.0991562000
NOHA 626,2019,Planted/Cultivated,0.0042845348
NOHA 626,2019,Developed,0.0255903554
NOHA 626,2019,Wetlands,0.4420371032
NOHA 626,2019,Herbaceous,0.5193276030
NOHA 626,2019,Barren,0.0000000000
NOHA 626,2019,Water,0.0087118293
NOHA 626,2019,Shrubland,0.0000000000
NOHA 626,2019,Forest,0.0000485744
NOHA 627,2019,Planted/Cultivated,0.0013465860
NOHA 627,2019,Developed,0.0850334384
NOHA 627,2019,Wetlands,0.8629378790
NOHA 627,2019,Herbaceous,0.0369188100
NOHA 627,2019,Barren,0.0000001230
NOHA 627,2019,Water,0.0130104480
NOHA 627,2019,Shrubland,0.0000000000
NOHA 627,2019,Forest,0.0007527180
NOHA 628,2019,Planted/Cultivated,0.0099240900
NOHA 628,2019,Developed,0.0178502370
NOHA 628,2019,Wetlands,0.6347744780
NOHA 628,2019,Herbaceous,0.1949204180
NOHA 628,2019,Barren,0.0003579070
NOHA 628,2019,Water,0.1057226970
NOHA 628,2019,Shrubland,0.0000170000
NOHA 628,2019,Forest,0.0364331670
NOHA 629,2019,Planted/Cultivated,0.2712666370
NOHA 629,2019,Developed,0.0759694654
NOHA 629,2019,Wetlands,0.1128413280
NOHA 629,2019,Herbaceous,0.5386040800
NOHA 629,2019,Barren,0.0000001030
NOHA 629,2019,Water,0.0012875960
NOHA 629,2019,Shrubland,0.0000000000
NOHA 629,2019,Forest,0.0000308024
NOHA 630,2019,Planted/Cultivated,0.0009663140
NOHA 630,2019,Developed,0.0034808653
NOHA 630,2019,Wetlands,0.9028249300
NOHA 630,2019,Herbaceous,0.0135880720
NOHA 630,2019,Barren,0.0000015500
NOHA 630,2019,Water,0.0673881060
NOHA 630,2019,Shrubland,0.0000008150
NOHA 630,2019,Forest,0.0117493461
NOHA 30,2019,Planted/Cultivated,0.0009960660
NOHA 30,2019,Developed,0.2223772800
NOHA 30,2019,Wetlands,0.6465911440
NOHA 30,2019,Herbaceous,0.0393561960
NOHA 30,2019,Barren,0.0000000097
NOHA 30,2019,Water,0.0776614920
NOHA 30,2019,Shrubland,0.0000000000
NOHA 30,2019,Forest,0.0130178320
,,,
,,,
