"","x"
"1",29.8666666666667
"2",369.8
"3",28.8833333333333
"4",29.9666666666667
"5",30.35
"6",29.6
"7",30.4
"8",29.6333333333333
"9",30.0666666666667
"10",30.6
"11",29.3833333333333
"12",30.3166666666667
"13",29.7166666666667
"14",30.4166666666667
"15",29.5166666666667
"16",30.35
"17",29.5833333333333
"18",30.4166666666667
"19",29.6
"20",30.1166666666667
"21",30.8666666666667
"22",31.05
"23",28.9166666666667
"24",30.45
"25",30.6666666666667
"26",28.6833333333333
"27",30.0666666666667
"28",31.2166666666667
"29",28.7
"30",30.0666666666667
"31",30.0666666666667
"32",30.6333333333333
"33",29.35
"34",27.1833333333333
"35",482.5
"36",29.6
"37",30.2666666666667
"38",30.1333333333333
"39",29.6
"40",29.9666666666667
"41",30.9333333333333
"42",29
"43",30.3666666666667
"44",29.6333333333333
"45",30.2
"46",30.6833333333333
"47",29.15
"48",30.1166666666667
"49",30.2166666666667
"50",29.6666666666667
"51",30.0833333333333
"52",30.25
"53",29.65
"54",29.9833333333333
"55",30.5
"56",29.6833333333333
"57",30.3166666666667
"58",30.2666666666667
"59",29.25
"60",29.9333333333333
"61",30.4166666666667
"62",29.6333333333333
"63",30.9666666666667
"64",29
"65",31.3
"66",28.8333333333333
"67",27.8333333333333
"68",483.066666666667
"69",29.6
"70",29.9333333333333
"71",30.3333333333333
"72",30.95
"73",28.7333333333333
"74",30.5666666666667
"75",29.5833333333333
"76",29.8
"77",30.05
"78",30.3166666666667
"79",29.7
"80",30.4666666666667
"81",29.55
"82",29.95
"83",30.9666666666667
"84",591.066666666667
"85",29.1333333333333
"86",370.066666666667
"87",28.7833333333333
"88",30.0833333333333
"89",30.05
"90",30.1833333333333
"91",29.7166666666667
"92",30.1666666666667
"93",30.1166666666667
"94",29.6833333333333
"95",30.1333333333333
"96",30.0333333333333
"97",30.15
"98",30.4166666666667
"99",30.55
"100",29.9333333333333
"101",29.1
"102",29.6666666666667
"103",30.3333333333333
"104",29.6166666666667
"105",30.9833333333333
"106",470.9
"107",29.6
"108",369.933333333333
"109",28.7
"110",30
"111",30.3333333333333
"112",29.7666666666667
"113",30.3
"114",29.6833333333333
"115",30.4
"116",30.8166666666667
"117",30
"118",59.2666666666667
"119",29.4333333333333
"120",30.1333333333333
"121",31.1666666666667
"122",30
"123",28.7
"124",30.2333333333333
"125",30.0666666666667
"126",31
"127",29.4666666666667
"128",29.2166666666667
"129",30.0333333333333
"130",31.2833333333333
"131",30
"132",30
"133",29.1
"134",29.6333333333333
"135",29.9166666666667
"136",30.5666666666667
"137",30.25
"138",29.1833333333333
"139",28.3666666666667
"140",482.433333333333
"141",29.65
"142",29.9333333333333
"143",30.05
"144",30.3833333333333
"145",29.7666666666667
"146",29.8833333333333
"147",30.3333333333333
"148",29.75
"149",30.2666666666667
"150",29.6666666666667
"151",30.3333333333333
"152",30.6333333333333
"153",29.3666666666667
"154",29.6166666666667
"155",30.3833333333333
"156",30
"157",29.6833333333333
"158",30.0166666666667
"159",30.9333333333333
"160",29.15
"161",30
"162",30.5
"163",30.8166666666667
"164",29.3
"165",29.4166666666667
"166",29.9833333333333
"167",29.9666666666667
"168",30.0666666666667
