"","x"
"1",60
"2",62
"3",58
"4",60
"5",480
"6",26342
"7",58
"8",60
"9",60
"10",62
"11",58
"12",60
"13",60
"14",62
"15",58
"16",480
"17",60
"18",10322
"19",58
"20",60
"21",60
"22",1202
"23",58
"24",60
"25",60
"26",120
"27",60
"28",60
"29",61
"30",60
"31",59
"32",60
"33",60
"34",482
"35",58
"36",60
"37",60
"38",62
"39",58
"40",60
"41",60
"42",62
"43",58
"44",60
"45",60
"46",62
"47",58
"48",60
"49",60
"50",62
"51",478
"52",60
"53",60
"54",62
"55",58
"56",60
"57",60
"58",62
"59",58
"60",60
"61",60
"62",62
"63",58
"64",60
"65",60
"66",62
"67",58
"68",480
"69",60
"70",62
"71",58
"72",60
"73",60
"74",62
"75",58
"76",60
"77",60
"78",62
"79",58
"80",60
"81",60
"82",62
"83",58
"84",60
"85",480
"86",62
"87",58
"88",60
"89",60
"90",62
"91",58
"92",60
"93",60
"94",62
"95",58
"96",60
"97",60
"98",62
"99",58
"100",60
"101",60
"102",482
"103",58
"104",60
"105",60
"106",62
"107",58
"108",60
"109",60
"110",62
"111",58
"112",60
"113",60
"114",62
"115",58
"116",60
"117",60
"118",62
"119",478
"120",60
"121",60
"122",302
"123",58
"124",60
"125",60
"126",62
"127",58
"128",60
"129",60
"130",62
"131",58
"132",480
"133",60
"134",62
"135",58
"136",60
"137",60
"138",62
"139",58
"140",60
"141",60
"142",62
"143",58
"144",60
"145",60
"146",62
"147",58
"148",60
"149",480
"150",62
"151",58
"152",60
"153",60
"154",62
"155",58
"156",60
"157",60
"158",62
"159",58
"160",60
"161",60
"162",62
"163",58
"164",60
"165",60
"166",482
"167",58
"168",60
"169",60
"170",62
"171",58
"172",60
"173",60
"174",62
"175",58
"176",60
"177",60
"178",62
"179",58
"180",60
"181",60
"182",62
"183",478
"184",60
"185",60
"186",62
"187",58
"188",60
"189",60
"190",62
"191",58
"192",60
"193",60
"194",62
"195",58
"196",60
"197",60
"198",62
"199",58
"200",480
"201",60
"202",62
"203",58
"204",60
"205",60
"206",62
"207",58
"208",60
"209",60
"210",62
"211",58
"212",60
"213",60
"214",62
"215",58
"216",60
"217",480
"218",62
"219",58
"220",60
"221",60
"222",62
"223",58
"224",60
"225",60
"226",62
"227",58
"228",60
"229",60
"230",62
"231",58
"232",60
"233",60
"234",482
"235",58
"236",60
"237",60
"238",62
"239",58
"240",60
"241",60
"242",62
"243",58
"244",60
"245",60
"246",62
"247",58
"248",60
"249",60
"250",62
"251",478
"252",60
"253",60
"254",62
"255",58
"256",60
"257",60
"258",62
"259",58
"260",60
"261",60
"262",62
"263",58
"264",60
"265",60
"266",62
"267",58
"268",480
"269",60
"270",62
"271",58
"272",60
"273",60
"274",62
"275",58
"276",60
"277",60
"278",62
"279",58
"280",60
"281",60
