"","x"
"1",54
"2",60
"3",60
"4",482
"5",58
"6",60
"7",60
"8",62
"9",58
"10",60
"11",60
"12",62
"13",58
"14",60
"15",60
"16",1443
"17",57
"18",60
"19",60
"20",63
"21",57
"22",480
"23",60
"24",88
"25",32
"26",60
"27",60
"28",554
"29",46
"30",60
"31",480
"32",63
"33",57
"34",60
"35",61
"36",59
"37",60
"38",60
"39",60
"40",62
"41",58
"42",60
"43",61
"44",61
"45",58
"46",60
"47",60
"48",2373
"49",27
"50",60
"51",60
"52",62
"53",58
"54",60
"55",60
"56",62
"57",58
"58",480
"59",60
"60",63
"61",57
"62",60
"63",60
"64",62
"65",58
"66",60
"67",60
"68",62
"69",58
"70",60
"71",60
"72",62
"73",58
"74",60
"75",480
"76",62
"77",58
"78",60
"79",60
"80",62
"81",58
"82",60
"83",60
"84",62
"85",58
"86",60
"87",60
"88",62
"89",58
"90",60
"91",60
"92",482
"93",58
"94",60
"95",60
"96",62
"97",58
"98",60
"99",60
"100",62
"101",58
"102",60
"103",60
"104",62
"105",58
"106",60
"107",60
"108",62
"109",478
"110",60
"111",60
"112",62
"113",58
"114",60
"115",60
"116",62
"117",58
"118",60
"119",60
"120",62
"121",58
"122",60
"123",60
"124",60
"125",60
"126",480
"127",60
"128",2171
"129",49
"130",60
"131",60
"132",482
"133",58
"134",60
"135",60
"136",62
"137",58
"138",60
"139",60
"140",542
"141",478
"142",60
"143",60
"144",62
"145",58
"146",60
"147",60
"148",62
"149",58
"150",60
"151",60
"152",60
"153",60
"154",60
"155",60
"156",62
"157",58
"158",480
"159",60
"160",60
"161",60
"162",60
"163",60
"164",62
"165",58
"166",60
"167",60
"168",62
"169",58
"170",60
"171",60
"172",62
"173",58
"174",60
"175",480
"176",62
"177",58
"178",60
"179",60
"180",62
"181",58
"182",60
"183",60
"184",60
"185",60
"186",60
"187",60
"188",60
"189",60
"190",60
"191",60
"192",482
"193",58
"194",60
"195",60
"196",60
"197",60
"198",60
"199",60
"200",62
"201",58
"202",60
"203",60
"204",62
"205",58
"206",60
"207",60
"208",62
"209",478
"210",60
"211",60
"212",302
"213",58
"214",60
"215",60
"216",74
"217",46
"218",60
"219",60
"220",60
"221",60
"222",480
"223",60
"224",60
"225",60
"226",60
"227",60
"228",65
"229",55
"230",60
"231",60
"232",63
"233",57
"234",60
"235",60
"236",63
"237",57
"238",60
"239",480
"240",63
"241",57
"242",60
"243",60
"244",63
"245",57
"246",60
"247",60
"248",133
"249",56
"250",52
"251",59
"252",60
"253",64
"254",56
"255",480
"256",60
"257",60
"258",61
"259",59
"260",60
"261",61
"262",59
"263",62
"264",58
"265",62
"266",58
"267",60
"268",60
"269",63
"270",57
"271",60
"272",480
"273",60
"274",60
"275",60
"276",60
"277",1214
"278",46
"279",60
"280",60
"281",65
"282",55
"283",60
"284",60
"285",62
"286",58
"287",60
"288",60
"289",60
"290",60
"291",60
"292",60
"293",62
"294",478
"295",60
"296",60
"297",62
"298",58
"299",60
"300",60
"301",63
"302",57
"303",60
"304",60
"305",1202
"306",58
"307",60
"308",60
"309",60
"310",60
"311",60
"312",60
"313",60
"314",60
"315",60
"316",480
"317",62
"318",58
"319",60
"320",60
"321",62
"322",58
"323",60
"324",60
"325",62
"326",58
"327",60
"328",60
"329",62
"330",58
"331",60
"332",60
"333",482
"334",58
"335",60
"336",60
"337",62
"338",58
"339",60
"340",60
"341",1984
"342",476
"343",360
"344",360
"345",62
"346",58
"347",60
"348",60
"349",482
"350",58
"351",60
"352",60
"353",62
"354",58
"355",60
"356",60
"357",62
"358",58
"359",60
"360",60
"361",62
"362",58
"363",60
"364",60
"365",62
"366",478
"367",60
"368",60
"369",62
"370",58
"371",60
"372",60
"373",62
"374",58
"375",60
"376",60
"377",316
"378",44
"379",480
"380",60
"381",62
"382",58
"383",60
"384",60
"385",62
"386",58
"387",60
"388",60
"389",65
"390",55
"391",60
"392",60
"393",60
"394",60
"395",60
"396",480
"397",62
"398",58
"399",60
"400",60
"401",60
"402",60
"403",60
"404",60
"405",60
"406",60
"407",60
"408",60
"409",60
"410",60
"411",60
"412",60
"413",482
"414",58
"415",60
"416",60
"417",61
"418",59
"419",60
"420",60
"421",62
"422",58
"423",60
"424",60
"425",1207
"426",53
"427",60
"428",60
"429",62
"430",58
"431",60
"432",60
"433",62
"434",58
"435",480
"436",60
"437",62
"438",58
"439",60
"440",60
"441",60
"442",60
"443",60
"444",60
"445",64
"446",56
"447",60
"448",60
"449",74
"450",46
"451",60
"452",480
"453",63
"454",57
"455",60
"456",60
"457",60
"458",60
"459",60
"460",60
"461",962
"462",58
"463",60
"464",60
"465",60
"466",60
"467",60
"468",60
"469",60
"470",60
"471",60
"472",60
"473",60
"474",60
"475",60
"476",60
"477",60
"478",480
"479",60
"480",60
"481",309
"482",51
"483",60
"484",60
"485",60
"486",60
"487",60
"488",60
"489",62
"490",58
"491",480
"492",60
"493",62
"494",58
"495",60
"496",60
"497",62
"498",58
"499",60
"500",60
"501",62
"502",58
"503",60
"504",60
"505",60
"506",60
"507",60
"508",480
"509",62
"510",58
"511",60
"512",60
"513",1922
"514",58
"515",60
"516",60
"517",60
"518",480
"519",60
"520",60
"521",62
"522",58
"523",60
"524",60
"525",62
"526",58
"527",60
"528",60
"529",962
"530",58
"531",60
"532",60
"533",60
"534",60
"535",60
"536",60
"537",62
"538",58
"539",60
"540",60
"541",60
"542",60
"543",60
"544",480
"545",309
"546",51
"547",60
"548",60
"549",62
"550",58
"551",60
"552",60
"553",60
"554",60
"555",60
"556",60
"557",483
"558",57
"559",60
"560",60
"561",60
"562",60
"563",60
"564",60
"565",60
"566",60
"567",60
"568",60
"569",62
"570",58
"571",60
"572",60
"573",62
"574",478
"575",60
"576",60
"577",543
"578",57
"579",60
"580",60
"581",63
"582",57
"583",480
"584",60
"585",63
"586",57
"587",60
"588",60
"589",302
"590",58
"591",60
"592",60
"593",62
"594",58
"595",60
"596",480
"597",62
"598",58
"599",60
"600",60
"601",60
"602",60
"603",60
"604",60
