"","x"
"1",58
"2",60
"3",60
"4",62
"5",58
"6",60
"7",60
"8",62
"9",58
"10",60
"11",60
"12",62
"13",58
"14",60
"15",60
"16",62
"17",478
"18",60
"19",60
"20",62
"21",58
"22",60
"23",60
"24",62
"25",58
"26",60
"27",60
"28",62
"29",58
"30",60
"31",60
"32",62
"33",58
"34",480
"35",60
"36",62
"37",58
"38",60
"39",60
"40",62
"41",58
"42",60
"43",60
"44",62
"45",58
"46",60
"47",60
"48",62
"49",58
"50",60
"51",480
"52",62
"53",58
"54",60
"55",60
"56",62
"57",58
"58",60
"59",60
"60",49262
"61",658
"62",360
"63",361
"64",720
"65",359
"66",60
"67",60
"68",62
"69",58
"70",60
"71",61
"72",61
"73",58
"74",60
"75",60
"76",482
"77",58
"78",60
"79",60
"80",62
"81",58
"82",60
"83",60
"84",62
"85",58
"86",60
"87",60
"88",63
"89",57
"90",60
"91",60
"92",62
"93",478
"94",60
"95",60
"96",62
"97",58
"98",60
"99",60
"100",62
"101",58
"102",60
"103",60
"104",62
"105",58
"106",60
"107",60
"108",63
"109",57
"110",480
"111",60
"112",62
"113",238
"114",360
"115",60
"116",62
"117",58
"118",60
"119",480
"120",62
"121",58
"122",60
"123",60
"124",62
"125",58
"126",60
"127",60
"128",62
"129",58
"130",60
"131",60
"132",62
"133",58
"134",60
"135",60
"136",482
"137",58
"138",60
"139",60
"140",62
"141",58
"142",60
"143",60
"144",62
"145",58
"146",60
"147",60
"148",62
"149",58
"150",60
"151",60
"152",62
"153",478
"154",360
"155",361
"156",719
"157",360
"158",361
"159",59
"160",62
"161",58
"162",60
"163",480
"164",62
"165",58
"166",60
"167",60
"168",62
"169",58
"170",60
"171",60
"172",62
"173",58
"174",60
"175",61
"176",61
"177",58
"178",60
"179",60
"180",482
"181",58
"182",60
"183",60
"184",62
"185",58
"186",60
"187",60
"188",62
"189",58
"190",60
"191",60
"192",63
"193",57
"194",60
"195",60
"196",62
"197",599
"198",61
"199",58
"200",60
"201",60
"202",62
"203",58
"204",60
"205",60
"206",62
"207",58
"208",60
"209",60
"210",62
"211",58
"212",480
"213",60
"214",62
"215",238
"216",360
"217",720
"218",360
"219",361
"220",59
"221",60
"222",62
"223",58
"224",480
"225",60
"226",62
"227",238
"228",361
"229",59
"230",62
"231",58
"232",60
"233",480
"234",62
"235",58
"236",60
"237",60
"238",62
"239",58
"240",60
"241",60
"242",62
"243",58
"244",60
"245",60
"246",62
"247",58
"248",60
"249",60
"250",482
"251",58
"252",60
"253",60
"254",62
"255",118
"256",361
"257",720
"258",360
"259",59
"260",60
"261",60
"262",62
"263",58
"264",60
"265",60
"266",62
"267",58
"268",60
"269",480
"270",62
"271",58
"272",60
"273",60
"274",542
"275",58
"276",60
"277",60
"278",482
"279",58
"280",60
"281",60
"282",62
"283",58
"284",60
"285",60
"286",62
"287",58
"288",60
"289",60
"290",194
"291",48
"292",58
"293",482
"294",59
"295",61
"296",58
"297",60
"298",60
"299",62
"300",58
"301",60
"302",60
"303",63
"304",57
"305",60
"306",60
"307",62
"308",58
"309",60
"310",480
"311",63
"312",57
"313",60
"314",60
"315",62
"316",58
"317",60
"318",60
"319",62
"320",58
"321",60
"322",60
"323",62
"324",58
"325",60
"326",60
"327",482
"328",58
"329",60
"330",60
"331",62
"332",58
"333",60
"334",60
"335",62
"336",238
"337",720
"338",360
"339",361
"340",719
"341",360
"342",361
"343",720
"344",359
"345",361
"346",719
"347",360
"348",361
"349",719
"350",360
"351",361
"352",719
"353",360
"354",361
"355",61
"356",58
"357",60
"358",60
"359",483
"360",57
"361",60
"362",60
"363",62
"364",58
"365",60
"366",60
"367",62
"368",58
"369",60
"370",60
"371",2818
"372",123
"373",721
"374",358
"375",360
"376",720
"377",360
"378",361
"379",720
"380",359
"381",361
"382",720
"383",359
"384",361
"385",720
"386",359
"387",361
"388",719
"389",360
"390",27721
"391",719
"392",362
"393",359
"394",48301
"395",58
"396",60
"397",60
"398",62
"399",58
"400",61
"401",59
"402",62
"403",59
"404",59
"405",60
"406",62
"407",58
"408",60
"409",60
"410",482
"411",58
"412",60
"413",60
"414",62
"415",118
"416",361
"417",719
"418",15
"419",1
"420",46
"421",298
"422",361
"423",719
"424",360
"425",361
"426",719
"427",360
"428",361
"429",719
"430",360
"431",361
"432",720
"433",359
"434",361
"435",719
"436",360
"437",361
"438",719
"439",360
"440",362
"441",719
"442",359
"443",361
"444",720
"445",359
"446",361
"447",719
"448",360
"449",361
"450",719
"451",360
"452",361
"453",719
"454",360
"455",361
"456",720
"457",359
"458",361
"459",719
"460",361
"461",360
"462",719
"463",360
"464",361
"465",720
"466",359
"467",361
"468",719
"469",360
"470",362
"471",718
"472",360
"473",361
"474",719
"475",360
"476",361
"477",720
"478",359
"479",361
"480",719
"481",360
"482",361
"483",719
"484",360
"485",361
"486",719
"487",360
"488",361
"489",719
"490",360
"491",361
"492",720
"493",359
"494",361
"495",719
"496",361
"497",360
"498",719
"499",360
"500",361
"501",719
"502",360
"503",361
"504",720
"505",359
"506",361
"507",59
"508",62
"509",58
"510",60
"511",480
"512",67
"513",293
"514",361
"515",839
"516",240
"517",363
"518",837
"519",240
"520",360
"521",841
"522",239
