number,prob.vec,% resource selection probability,unique.vec,Classification/Description,Class
8,0.836841093,83.68,95,Emergent Herbaceous Wetlands,Wetlands
1,0.074933937,7.49,71,Grassland/Herbaceous,Herbaceous
2,0.046837243,4.68,21,"developed, open space",Developed
4,0.022568232,2.26,22,"developed, low intensity",Developed
9,0.014803267,1.48,11,open water,Water
10,0.001661474,0.17,23,"developed, medium intensity",Developed
3,0.000899685,0.09,81,Pasture/Hay,Planted/Cultivated
15,0.000638825,0.06,41,Deciduous Forest,Forest
5,0.000611621,0.06,82,Cultivated Crop,Planted/Cultivated
7,0.000201807,0.02,90,Woody Wetlands,Wetlands
13,0.0000019784,0.00,42,Evergreen Forest,Forest
11,0.0000008122,0.00,24,"developed, high intensity",Developed
12,0.0000000263,0.00,31,Barren Land (Rock/Sand/Clay),Barren
14,0,0.00,43,Mixed Forest,Forest
6,0,0.00,52,Shrub/Scrub,Shrubland
,,,,,
,,,,,
,Classes,Sum all classes of the same type,,,
,Wetlands,83.70,,,
,Herbaceous (Grasslands),7.49,,,
,Developed,7.11,,,
,Water,1.48,,,
,Cultivated (Pasture/Hay/Crop),0.15,,,
,Forest,0.06,,,
,Barren,0.00,,,
,Shrubland,0.00,,,
