"","x"
"1",717
"2",50
"3",60
"4",60
"5",62
"6",58
"7",60
"8",60
"9",62
"10",58
"11",60
"12",61
"13",61
"14",58
"15",60
"16",60
"17",482
"18",58
"19",60
"20",60
"21",62
"22",58
"23",59
"24",1
"25",62
"26",58
"27",60
"28",60
"29",60
"30",60
"31",60
"32",60
"33",722
"34",58
"35",60
"36",60
"37",60
"38",60
"39",60
"40",60
"41",60
"42",60
"43",60
"44",60
"45",62
"46",58
"47",60
"48",480
"49",62
"50",58
"51",60
"52",60
"53",62
"54",58
"55",60
"56",60
"57",62
"58",58
"59",60
"60",60
"61",62
"62",58
"63",60
"64",60
"65",482
"66",58
"67",60
"68",60
"69",62
"70",58
"71",60
"72",60
"73",62
"74",58
"75",60
"76",60
"77",62
"78",58
"79",60
"80",60
"81",62
"82",478
"83",60
"84",60
"85",60
"86",60
"87",60
"88",60
"89",60
"90",60
"91",60
"92",60
"93",62
"94",58
"95",60
"96",60
"97",62
"98",58
"99",480
"100",60
"101",62
"102",58
"103",60
"104",60
"105",62
"106",58
"107",60
"108",60
"109",62
"110",58
"111",60
"112",60
"113",725
"114",55
"115",60
"116",60
"117",63
"118",57
"119",60
"120",60
"121",63
"122",57
"123",60
"124",60
"125",63
"126",57
"127",60
"128",60
"129",483
"130",57
"131",60
"132",60
"133",63
"134",57
"135",60
"136",60
"137",63
"138",57
"139",60
"140",60
"141",64
"142",56
"143",60
"144",60
"145",63
"146",477
"147",60
"148",60
"149",63
"150",57
"151",60
"152",60
"153",303
"154",57
"155",60
"156",60
"157",64
"158",56
"159",480
"160",60
"161",63
"162",57
"163",60
"164",60
"165",63
"166",57
"167",60
"168",60
"169",37
"170",25
"171",58
"172",60
"173",60
"174",62
"175",58
"176",60
"177",480
"178",62
"179",58
"180",60
"181",60
"182",62
"183",58
"184",60
"185",59
"186",11
"187",1
"188",49
"189",60
"190",60
"191",60
"192",64
"193",56
"194",60
"195",60
"196",484
"197",56
"198",60
"199",60
"200",65
"201",25
"202",30
"203",29
"204",31
"205",30
"206",30
"207",30
"208",30
"209",30
"210",30
"211",30
"212",150
"213",30
"214",30
"215",30
"216",33
"217",27
"218",30
"219",30
"220",270
"221",30
"222",30
"223",30
"224",34
"225",26
"226",30
"227",30
"228",30
"229",30
"230",30
"231",30
"232",41
"233",229
"234",360
"235",360
"236",360
"237",360
"238",360
"239",360
"240",360
"241",360
"242",360
"243",360
"244",360
"245",360
"246",360
"247",360
"248",360
"249",360
"250",360
"251",360
"252",360
"253",360
"254",360
"255",360
"256",1800
"257",360
"258",360
"259",360
"260",360
"261",360
"262",360
"263",360
"264",360
"265",360
"266",360
"267",360
"268",360
"269",360
"270",360
"271",360
"272",360
"273",360
"274",360
"275",360
"276",360
"277",360
"278",360
"279",360
"280",360
"281",360
"282",360
"283",360
"284",360
"285",360
"286",360
"287",360
"288",360
"289",360
"290",360
"291",360
"292",360
"293",360
"294",360
"295",360
"296",360
"297",360
"298",360
"299",360
"300",360
"301",360
"302",360
"303",360
"304",360
"305",360
"306",360
"307",360
"308",360
"309",360
"310",360
"311",360
"312",360
"313",360
"314",360
"315",360
"316",360
"317",360
"318",360
"319",360
"320",360
"321",360
"322",360
"323",360
"324",360
"325",360
"326",360
"327",360
"328",360
"329",360
"330",360
"331",360
"332",12
"333",468
"334",60
"335",60
"336",60
"337",60
"338",60
"339",60
"340",60
"341",60
"342",60
"343",60
"344",60
"345",8
"346",52
"347",720
"348",60
"349",60
