"","x"
"1",95
"2",95
"3",95
"4",95
"5",95
"6",95
"7",95
"8",95
"9",95
"10",95
"11",95
"12",95
"13",95
"14",52
"15",95
"16",95
"17",95
"18",95
"19",95
"20",95
"21",95
"22",95
"23",52
"24",95
"25",95
"26",95
"27",95
"28",95
"29",95
"30",52
"31",52
"32",52
"33",95
"34",95
"35",52
"36",52
"37",95
"38",95
"39",95
"40",52
"41",52
"42",52
"43",52
"44",95
"45",95
"46",95
"47",95
"48",52
"49",95
"50",95
"51",95
"52",52
"53",52
"54",52
"55",52
"56",52
"57",95
"58",95
"59",95
"60",95
"61",52
"62",52
"63",52
"64",95
"65",95
"66",95
"67",95
"68",52
"69",52
"70",52
"71",52
"72",52
"73",95
"74",95
"75",95
"76",95
"77",52
"78",52
"79",95
"80",95
"81",95
"82",95
"83",52
"84",52
"85",95
"86",52
"87",95
"88",52
"89",52
"90",52
"91",95
"92",95
"93",95
"94",95
"95",95
"96",95
"97",95
"98",95
"99",95
"100",95
"101",95
"102",95
"103",95
"104",95
"105",95
"106",52
"107",52
"108",52
"109",95
"110",95
"111",95
"112",95
"113",95
"114",95
"115",95
"116",95
"117",95
"118",95
"119",95
"120",95
"121",95
"122",95
"123",95
"124",95
"125",95
"126",52
"127",52
"128",95
"129",95
"130",95
"131",95
"132",95
"133",95
"134",95
"135",95
"136",95
"137",95
"138",95
"139",95
"140",95
"141",95
"142",95
"143",95
"144",95
"145",95
"146",95
"147",52
"148",52
"149",52
"150",95
"151",95
"152",95
"153",95
"154",95
"155",95
"156",95
"157",95
"158",95
"159",95
"160",95
"161",95
"162",95
"163",95
"164",95
"165",95
"166",95
"167",95
"168",95
"169",95
"170",42
"171",95
"172",95
"173",52
"174",52
"175",95
"176",95
"177",95
"178",95
"179",95
"180",95
"181",95
"182",95
"183",95
"184",95
"185",95
"186",95
"187",95
"188",95
"189",95
"190",95
"191",95
"192",95
"193",95
"194",95
"195",42
"196",95
"197",95
"198",95
"199",95
"200",95
"201",95
"202",95
"203",95
"204",95
"205",95
"206",95
"207",95
"208",95
"209",95
"210",95
"211",95
"212",95
"213",95
"214",95
"215",95
"216",95
"217",95
"218",95
"219",95
"220",95
"221",95
"222",95
"223",95
"224",95
"225",95
"226",95
"227",95
"228",95
"229",95
"230",95
"231",95
"232",95
"233",95
"234",95
"235",95
"236",95
"237",95
"238",95
"239",95
"240",95
"241",95
"242",95
"243",95
"244",95
"245",95
"246",95
"247",95
"248",95
"249",95
"250",95
"251",95
"252",95
"253",95
"254",95
"255",95
"256",95
"257",95
"258",95
"259",95
"260",95
"261",95
"262",95
"263",95
"264",95
"265",95
"266",95
"267",95
"268",95
"269",95
"270",95
"271",95
"272",95
"273",95
"274",95
"275",95
"276",95
"277",95
"278",95
"279",95
"280",52
"281",95
"282",95
"283",95
"284",95
"285",95
"286",95
"287",95
"288",95
"289",95
"290",95
"291",95
"292",42
"293",95
"294",95
"295",95
"296",95
"297",95
"298",95
"299",95
"300",95
"301",95
"302",95
"303",95
"304",95
"305",95
"306",95
"307",95
"308",95
"309",95
"310",95
"311",95
"312",52
"313",95
"314",95
"315",95
"316",95
"317",95
"318",95
"319",95
"320",95
"321",95
"322",42
"323",42
"324",95
"325",42
"326",95
"327",95
"328",95
"329",95
"330",95
"331",95
"332",95
"333",95
"334",95
"335",95
"336",95
"337",95
"338",95
"339",95
"340",95
"341",95
"342",95
"343",95
"344",95
"345",95
"346",95
"347",95
"348",95
"349",95
"350",95
"351",95
"352",95
"353",95
"354",95
"355",95
"356",42
"357",95
"358",95
"359",95
"360",95
"361",95
"362",95
"363",95
"364",95
"365",95
"366",95
"367",95
"368",95
"369",95
"370",95
"371",95
"372",95
"373",95
"374",95
"375",95
"376",95
"377",95
"378",95
"379",95
"380",95
"381",95
"382",95
"383",95
"384",95
"385",95
"386",95
"387",95
"388",95
"389",95
"390",95
"391",95
"392",95
"393",95
"394",95
"395",95
"396",95
"397",95
"398",95
"399",95
"400",95
"401",95
"402",95
"403",95
"404",95
"405",95
"406",95
"407",95
"408",95
"409",95
"410",95
"411",95
"412",52
"413",52
"414",95
"415",95
"416",95
"417",95
"418",95
"419",95
"420",95
"421",95
"422",95
"423",95
"424",95
"425",95
"426",95
"427",95
"428",95
"429",95
"430",95
"431",95
"432",95
"433",95
"434",95
"435",95
"436",95
"437",95
"438",95
"439",95
"440",95
"441",95
"442",95
"443",95
"444",95
"445",95
"446",95
"447",95
"448",95
"449",95
"450",52
"451",52
"452",52
"453",52
"454",95
"455",95
"456",95
"457",95
"458",95
"459",95
"460",95
"461",95
"462",95
"463",95
"464",95
"465",95
"466",95
"467",95
"468",95
"469",95
"470",95
"471",95
"472",95
"473",95
"474",95
"475",95
"476",95
"477",95
"478",95
"479",95
"480",95
"481",95
"482",95
"483",95
"484",95
"485",95
"486",95
"487",95
"488",95
"489",52
"490",52
"491",52
"492",52
"493",52
"494",95
"495",95
"496",95
"497",95
"498",52
"499",52
"500",95
"501",95
"502",95
"503",95
"504",95
"505",95
"506",95
"507",95
"508",95
"509",95
"510",95
"511",95
"512",95
"513",95
"514",95
"515",95
"516",95
"517",95
"518",95
"519",95
"520",95
"521",95
"522",95
"523",95
"524",95
"525",95
"526",95
"527",95
"528",95
"529",95
"530",52
"531",52
"532",52
"533",52
"534",52
"535",95
"536",95
"537",95
"538",95
"539",95
"540",95
"541",95
"542",95
"543",95
"544",95
"545",95
"546",95
"547",95
"548",95
"549",95
"550",95
"551",95
"552",95
"553",95
"554",95
"555",95
"556",95
"557",95
"558",95
"559",95
"560",95
"561",95
"562",95
"563",95
"564",95
"565",95
"566",95
"567",95
"568",95
"569",95
"570",95
"571",95
"572",95
"573",52
"574",52
"575",52
"576",52
"577",52
"578",95
"579",52
"580",52
"581",52
"582",52
"583",52
"584",95
"585",95
"586",95
"587",95
"588",95
"589",95
"590",95
"591",95
"592",95
"593",95
"594",95
"595",95
"596",95
"597",95
"598",95
"599",95
"600",95
"601",95
"602",95
"603",95
"604",95
"605",95
"606",95
"607",95
"608",95
"609",95
"610",95
"611",95
"612",95
"613",95
"614",52
"615",52
"616",52
"617",52
"618",52
"619",52
"620",52
"621",52
"622",52
"623",95
"624",95
"625",95
"626",95
"627",95
"628",95
"629",95
"630",95
"631",95
"632",95
"633",95
"634",95
"635",95
"636",95
"637",95
"638",95
"639",95
"640",95
"641",95
"642",95
