"","x","y","nlcd_extract_37.19"
"1",556645.0562,7666848.292,51
"2",556624.6173,7666728.804,51
"3",557013.1725,7667224.95,51
"4",556599.7918,7666769.164,51
"5",556607.7066,7666771.244,51
"6",556996.72,7667133.436,51
"7",557002.4586,7667087.169,51
"8",556669.1985,7666722.478,51
"9",556303.7616,7667030.012,51
"10",556910.4374,7667475.414,51
"11",556956.2051,7667219.938,72
"12",557028.4355,7667253.191,51
"13",557006.1624,7667126.295,51
"14",557003.8411,7667113.191,51
"15",557004.0156,7667105.722,51
"16",557007.3181,7667105.799,51
"17",556991.3143,7667109.217,72
"18",557046.1612,7667060.306,72
"19",557052.7446,7667092.026,72
"20",557005.9165,7667109.558,51
"21",557005.3703,7667103.969,51
"22",556990.8123,7667101.732,51
"23",557004.522,7667111.31,51
"24",557004.0156,7667105.722,51
"25",557006.005,7667105.768,51
"26",556951.0178,7667186.355,72
"27",557034.9608,7667171.585,51
"28",556972.3871,7667123.61,72
"29",557006.5531,7667109.573,51
"30",557001.982,7667107.57,51
"31",556948.2864,7667076.535,51
"32",557003.8854,7667111.296,51
"33",557007.9502,7667107.71,51
"34",557005.4146,7667102.073,51
"35",556972.5871,7667144.027,51
"36",557004.0156,7667105.722,51
"37",557008.6727,7667104.046,51
"38",557006.5974,7667107.678,51
"39",557001.9377,7667109.465,51
"40",557003.3392,7667105.706,51
"41",557005.8748,7667111.342,51
"42",557004.6523,7667105.736,51
"43",557005.3703,7667103.969,51
"44",557007.9059,7667109.605,51
"45",557003.1205,7667115.07,51
"46",557005.3286,7667105.752,51
"47",557001.982,7667107.57,51
"48",557007.3181,7667105.799,51
"49",557003.3809,7667103.922,51
"50",557000.499,7667113.113,51
"51",557000.1228,7667101.95,51
"52",557004.6523,7667105.736,51
"53",557004.522,7667111.31,51
"54",557014.6244,7667133.855,51
"55",557005.2401,7667109.543,51
"56",557003.3809,7667103.922,51
"57",557004.6523,7667105.736,51
"58",557000.6292,7667107.539,51
"59",557006.3369,7667118.826,51
"60",556997.9172,7667111.156,51
"61",557005.3286,7667105.752,51
"62",557005.1099,7667115.117,51
"63",557007.9502,7667107.71,51
"64",557001.1753,7667113.128,51
"65",557006.5531,7667109.573,51
"66",557006.5974,7667107.678,51
"67",557002.1122,7667101.996,51
"68",557005.0682,7667116.9,51
"69",557002.1122,7667101.996,51
"70",556900.7382,7667095.949,51
"71",557005.2401,7667109.543,51
"72",557007.49,7667098.441,51
"73",556893.5471,7667090.205,51
"74",557004.5637,7667109.527,51
"75",557003.4252,7667102.027,51
"76",557005.3286,7667105.752,51
"77",557006.005,7667105.768,51
"78",557005.2844,7667107.647,51
"79",557004.6939,7667103.953,51
"80",557007.3597,7667104.015,51
"81",557006.6833,7667103.999,51
"82",557005.4146,7667102.073,51
"83",556854.612,7666996.272,51
"84",557004.0156,7667105.722,51
"85",557004.1016,7667102.043,51
"86",557006.6833,7667103.999,51
"87",557006.7719,7667100.209,51
"88",557003.9271,7667109.512,51
"89",557007.3181,7667105.799,51
"90",557011.8847,7667109.698,51
"91",557001.3056,7667107.554,51
"92",557006.5114,7667111.357,51
"93",557005.2401,7667109.543,51
"94",557001.982,7667107.57,51
"95",557002.7045,7667103.906,51
"96",557005.2844,7667107.647,51
"97",557002.0679,7667103.891,51
"98",557005.2844,7667107.647,51
"99",557006.7276,7667102.104,51
"100",557015.8635,7667109.791,51
"101",557006.6417,7667105.783,51
"102",557003.2507,7667109.496,51
"103",557003.295,7667107.601,51
"104",557005.1984,7667111.326,51
"105",557002.7045,7667103.906,51
"106",557005.4146,7667102.073,51
"107",557007.3181,7667105.799,51
"108",557008.0804,7667102.136,51
"109",557001.2613,7667109.45,51
"110",557008.6311,7667105.829,51
"111",557013.242,7667107.833,51
"112",557001.9377,7667109.465,51
"113",556955.5915,7666877.828,51
"114",557005.3703,7667103.969,51
"115",557002.6186,7667107.585,51
"116",557006.6833,7667103.999,51
"117",557004.6939,7667103.953,51
"118",557003.2507,7667109.496,51
"119",556936.0012,7667091.195,51
"120",557005.3286,7667105.752,51
"121",557003.9271,7667109.512,51
"122",557004.6939,7667103.953,51
"123",557006.0467,7667103.984,51
"124",557001.3056,7667107.554,51
"125",557007.3181,7667105.799,51
"126",557005.2844,7667107.647,51
"127",556953.2055,7666980.056,51
"128",557009.3934,7667102.166,51
"129",557006.6417,7667105.783,51
"130",557004.608,7667107.632,51
"131",557010.5319,7667109.666,51
"132",557004.608,7667107.632,51
"133",557003.8411,7667113.191,51
"134",557009.3934,7667102.166,51
"135",557005.9608,7667107.663,51
"136",557007.3597,7667104.015,51
"137",557006.005,7667105.768,51
"138",557008.0361,7667104.031,51
"139",557005.8748,7667111.342,51
"140",557011.6876,7667089.17,51
"141",557007.5342,7667096.546,51
"142",557007.8199,7667113.284,51
"143",557001.982,7667107.57,51
"144",557008.1247,7667100.241,51
"145",557005.9608,7667107.663,51
"146",556999.1417,7667114.977,51
"147",557003.9271,7667109.512,51
"148",557010.2714,7667120.814,51
"149",557003.295,7667107.601,51
"150",557003.9714,7667107.617,51
"151",557006.5531,7667109.573,51
"152",557001.982,7667107.57,51
"153",557005.9608,7667107.663,51
"154",557005.1984,7667111.326,51
"155",557004.0573,7667103.938,51
"156",557003.209,7667111.28,51
"157",557010.4459,7667113.345,51
"158",557004.608,7667107.632,51
"159",557004.608,7667107.632,51
"160",557005.1984,7667111.326,51
"161",557004.6523,7667105.736,51
"162",557005.9165,7667109.558,51
"163",557007.2295,7667109.589,51
"164",557004.0156,7667105.722,51
"165",557005.2401,7667109.543,51
"166",557004.6523,7667105.736,51
"167",557003.9714,7667107.617,51
"168",557004.6523,7667105.736,51
"169",557015.3008,7667133.87,51
"170",557005.3703,7667103.969,51
"171",556791.0496,7667046.881,51
"172",557006.5531,7667109.573,51
"173",557007.49,7667098.441,51
"174",557007.2738,7667107.694,51
"175",556999.6879,7667120.567,51
"176",557006.6417,7667105.783,51
"177",557003.295,7667107.601,51
"178",557003.295,7667107.601,51
"179",557003.295,7667107.601,51
"180",557004.6523,7667105.736,51
"181",557015.9937,7667104.217,51
"182",557006.5974,7667107.678,51
"183",557001.3498,7667105.659,51
"184",557004.522,7667111.31,51
"185",557000.2828,7667122.365,51
"186",557000.1228,7667101.95,51
"187",557003.4695,7667100.132,51
"188",557006.091,7667102.089,51
"189",557005.1541,7667113.221,51
"190",557007.2295,7667109.589,51
"191",557010.2,7667096.608,51
"192",557549.9352,7666350.797,51
"193",557036.6279,7667073.021,72
"194",557003.3809,7667103.922,51
"195",557002.1122,7667101.996,51
"196",557007.404,7667102.12,51
"197",557030.9265,7666976.294,51
"198",556376.1125,7667516.881,51
"199",557009.427,7667044.501,72
"200",557004.3974,7667031.444,72
"201",557004.608,7667107.632,51
"202",556481.995,7667528.588,51
"203",557000.0785,7667103.845,51
"204",557005.3703,7667103.969,51
"205",557007.3181,7667105.799,51
"206",557004.522,7667111.31,51
"207",556483.7543,7666535.922,51
"208",558173.7495,7665127.469,51
"209",557003.9714,7667107.617,51
"210",556741.3061,7667503.04,51
"211",556904.5077,7666934.303,51
"212",557000.0785,7667103.845,51
"213",557004.1459,7667100.148,51
"214",556996.39,7667118.594,51
"215",557161.8636,7666767.43,51
"216",556634.9051,7666827.645,51
"217",556789.3033,7667065.468,51
"218",556905.3855,7667350.705,51
"219",557036.9495,7667030.309,51
"220",556510.7629,7666428.799,51
"221",557001.3915,7667103.876,51
"222",557004.6523,7667105.736,51
"223",557004.6939,7667103.953,51
"224",557003.1205,7667115.07,51
"225",556986.8921,7667071.859,72
"226",556825.4798,7666594.048,51
"227",556978.8193,7667274.34,51
"228",557028.4262,7667338.743,51
"229",557002.6628,7667105.69,51
"230",556996.1295,7667129.742,51
"231",556892.609,7667103.121,51
"232",556665.7644,7666441.651,51
"233",556934.1985,7667139.45,72
"234",556892.7847,7667010.212,51
"235",557006.5974,7667107.678,51
"236",557095.6187,7666961.076,51
"237",556594.3181,7667005.168,51
"238",556338.4874,7667250.212,51
"239",556952.8287,7667279.311,51
"240",556959.9332,7667288.734,51
"241",557075.8105,7667919.864,51
"242",556630.2204,7667487.409,51
"243",556458.5009,7666221.241,51
"244",556422.9474,7667069.908,51
