"","x","y","nlcd_extract_61"
"1",688191.0493,5145467.287,82
"2",688228.6908,5145453.551,82
"3",688190.9942,5145469.065,82
"4",688111.6967,5145464.827,82
"5",688179.816,5145457.596,82
"6",688190.633,5145522.882,82
"7",688171.2279,5145444.429,82
"8",688240.2195,5145535.542,82
"9",688191.2216,5145461.731,82
"10",688071.9314,5145217.027,82
"11",688193.6429,5145465.476,82
"12",688197.253,5145473.04,82
"13",688193.4707,5145471.032,82
"14",688219.8069,5145368.083,82
"15",688190.1464,5145454.246,82
"16",688196.141,5145469.224,82
"17",688193.5292,5145469.143,82
"18",688193.1262,5145482.143,82
"19",688194.9488,5145465.517,82
"20",688194.6629,5145474.739,82
"21",688190.9357,5145470.953,82
"22",688197.3115,5145471.151,82
"23",688188.6315,5145463.43,82
"24",688196.141,5145469.224,82
"25",688195.9102,5145476.668,82
"26",688193.5292,5145469.143,82
"27",688193.5292,5145469.143,82
"28",688193.5843,5145467.365,82
"29",688199.2344,5145493.454,82
"30",688221.549,5145475.573,82
"31",688194.6629,5145474.739,82
"32",688201.211,5145469.381,82
"33",688192.183,5145472.883,82
"34",688201.0939,5145473.159,82
"35",688350.1842,5145542.623,82
"36",688193.5292,5145469.143,82
"37",688193.357,5145474.699,82
"38",688196.0239,5145473.002,82
"39",688220.171,5145520.017,82
"40",688194.9488,5145465.517,82
"41",688193.4707,5145471.032,82
"42",688201.1524,5145471.27,82
"43",688197.5974,5145461.929,82
"44",688197.3115,5145471.151,82
"45",688192.2416,5145470.994,82
"46",688195.8517,5145478.557,82
"47",688193.4121,5145472.921,82
"48",688195.9102,5145476.668,82
"49",688202.0136,5145443.493,82
"50",688193.2984,5145476.588,82
"51",688193.4121,5145472.921,82
"52",688198.5038,5145474.858,82
"53",688196.0239,5145473.002,82
"54",688196.9671,5145482.262,82
"55",688194.7766,5145471.072,82
"56",688371.6881,5145469.108,82
"57",688326.2642,5145406.529,82
"58",688363.8891,5145472.647,82
"59",688227.44,5145451.732,82
"60",688371.7433,5145467.33,82
"61",688228.818,5145407.288,82
"62",688378.0339,5145348.857,82
"63",688227.6293,5145403.47,82
"64",688415.1851,5145472.349,82
"65",688230.8715,5145383.218,82
"66",688231.2979,5145409.145,82
"67",688320.2699,5145391.551,82
"68",688268.9455,5145477.042,82
"69",688320.3285,5145389.662,82
"70",688323.3628,5145415.781,82
"71",688320.2699,5145391.551,82
"72",688228.7179,5145368.359,82
"73",688325.6477,5145384.267,82
"74",688321.2897,5145400.814,82
"75",688239.7689,5145426.09,82
"76",688306.3844,5145385.56,82
"77",688363.5464,5145278.006,82
"78",688227.6059,5145364.543,82
"79",688231.6743,5145357.329,82
"80",688409.4843,5145242.285,82
"81",688414.98,5145312.968,82
"82",688414.4588,5145248.001,82
"83",688410.7902,5145242.326,82
"84",688412.0375,5145244.255,82
"85",688413.2667,5145244.293,82
"86",688410.7316,5145244.215,82
"87",688408.1965,5145244.136,82
"88",688389.3948,5145230.54,82
"89",688383.6134,5145250.825,82
"90",688410.6178,5145247.881,82
"91",688182.8091,5145442.897,82
"92",688408.1379,5145246.025,82
"93",688385.8037,5145262.014,82
"94",688410.8454,5145240.548,82
"95",688385.8623,5145260.126,82
"96",688398.1336,5145236.372,82
"97",688410.8454,5145240.548,82
"98",688372.593,5145276.396,82
