"","x"
"1",59
"2",60
"3",61
"4",59
"5",480
"6",60
"7",60
"8",60
"9",60
"10",60
"11",62
"12",58
"13",60
"14",60
"15",62
"16",58
"17",60
"18",60
"19",74
"20",46
"21",60
"22",480
"23",62
"24",58
"25",60
"26",60
"27",60
"28",60
"29",60
"30",60
"31",60
"32",60
"33",60
"34",60
"35",62
"36",58
"37",60
"38",60
"39",482
"40",58
"41",60
"42",60
"43",60
"44",60
"45",60
"46",60
"47",313
"48",47
"49",60
"50",60
"51",62
"52",478
"53",60
"54",60
"55",62
"56",58
"57",60
"58",60
"59",60
"60",60
"61",60
"62",60
"63",60
"64",60
"65",60
"66",60
"67",60
"68",60
"69",480
"70",60
"71",60
"72",60
"73",60
"74",60
"75",60
"76",60
"77",60
"78",60
"79",62
"80",58
"81",60
"82",60
"83",60
"84",60
"85",60
"86",480
"87",65
"88",55
"89",60
"90",60
"91",62
"92",58
"93",60
"94",60
"95",60
"96",60
"97",60
"98",60
"99",63
"100",57
"101",60
"102",60
"103",482
"104",58
"105",60
"106",60
"107",60
"108",60
"109",60
"110",60
"111",67
"112",53
"113",60
"114",60
"115",60
"116",60
"117",60
"118",60
"119",60
"120",480
"121",60
"122",60
"123",60
"124",60
"125",60
"126",60
"127",66
"128",54
"129",60
"130",60
"131",60
"132",60
"133",60
"134",60
"135",60
"136",60
"137",480
"138",60
"139",60
"140",60
"141",60
"142",60
"143",60
"144",60
"145",60
"146",60
"147",60
"148",60
"149",60
"150",60
"151",60
"152",60
"153",60
"154",480
"155",67
"156",53
"157",60
"158",60
"159",64
"160",54
"161",2
"162",60
"163",60
"164",60
"165",60
"166",60
"167",60
"168",60
"169",60
"170",60
"171",60
"172",480
"173",60
"174",60
"175",60
"176",60
"177",60
"178",60
"179",60
"180",60
"181",60
"182",60
"183",60
"184",60
"185",60
"186",60
"187",60
"188",60
"189",480
"190",60
"191",60
"192",60
"193",60
"194",60
"195",66
"196",54
"197",60
"198",60
"199",60
"200",60
"201",60
"202",60
"203",60
"204",60
"205",60
"206",480
"207",67
"208",53
"209",60
"210",60
"211",60
"212",60
"213",60
"214",60
"215",182
"216",58
"217",60
"218",60
"219",60
"220",62
"221",478
"222",60
"223",60
"224",60
"225",60
"226",60
"227",59
"228",63
"229",58
"230",60
"231",60
"232",60
"233",60
"234",60
"235",60
"236",62
"237",58
"238",480
"239",60
"240",60
"241",60
"242",60
"243",60
"244",60
"245",60
"246",60
"247",60
"248",60
"249",60
"250",60
"251",60
"252",60
"253",60
"254",60
"255",480
"256",67
"257",53
"258",60
"259",60
"260",67
"261",53
"262",60
"263",60
"264",60
"265",60
"266",60
"267",60
"268",60
"269",60
"270",60
"271",60
"272",483
"273",57
"274",60
"275",60
"276",60
"277",60
"278",60
"279",60
"280",62
"281",58
"282",60
"283",60
"284",302
"285",478
"286",60
"287",60
"288",60
"289",60
"290",60
"291",60
"292",60
"293",60
"294",60
"295",60
"296",60
"297",60
"298",60
"299",60
"300",68
"301",52
"302",480
"303",60
"304",60
"305",60
"306",60
"307",60
"308",62
"309",58
"310",60
"311",60
"312",60
"313",60
"314",60
"315",60
"316",60
"317",60
"318",60
"319",480
"320",67
"321",53
"322",60
"323",60
"324",60
"325",60
"326",60
"327",60
"328",67
"329",53
"330",60
"331",60
"332",60
"333",60
"334",60
"335",60
"336",484
"337",56
"338",60
"339",60
"340",64
"341",56
"342",60
"343",60
"344",62
"345",58
"346",60
"347",60
"348",62
"349",58
"350",60
"351",60
"352",62
"353",478
"354",60
"355",60
"356",62
"357",58
"358",60
"359",60
"360",62
"361",58
"362",60
"363",60
"364",62
"365",58
"366",60
"367",60
"368",62
"369",58
"370",480
"371",60
"372",62
"373",58
"374",60
"375",60
"376",60
"377",60
"378",60
"379",60
"380",64
"381",56
"382",60
"383",60
"384",67
"385",53
"386",60
"387",480
"388",62
"389",58
"390",60
"391",60
"392",60
"393",60
"394",60
"395",60
"396",63
"397",57
"398",60
"399",60
"400",60
"401",60
"402",60
"403",60
"404",482
"405",58
"406",60
"407",60
"408",62
"409",58
"410",60
"411",60
"412",62
"413",58
"414",60
"415",60
"416",68
"417",52
"418",60
"419",60
