"","x","y","nlcd_extract_41"
"1",273529.8086,4695095.368,52
"2",273525.4508,4695088.061,52
"3",273537.9013,4695134.014,52
"4",273471.4109,4695200.976,95
"5",273582.2882,4695104.786,52
"6",273548.2154,4695111.447,52
"7",273593.0003,4695137.788,95
"8",273712.8831,4695276.532,52
"9",273516.8761,4695205.062,52
"10",273587.9235,4695108.272,95
"11",273496.9733,4695142.787,52
"12",273496.9544,4695014.949,95
"13",273564.9623,4695162.819,95
"14",273538.5391,4695237.71,95
"15",273479.1051,4695184.052,95
"16",273534.2649,4695189.714,95
"17",273575.0144,4695134.702,95
"18",273572.8749,4695195.912,52
"19",273439.7164,4695324.284,95
"20",273500.0491,4695194.49,95
"21",273565.1194,4695210.948,52
"22",273445.6918,4695170.35,95
"23",273446.97,4695125.842,95
"24",273586.4455,4695189.914,95
"25",273520.0164,4695258.764,95
"26",273462.5801,4695182.809,95
"27",273591.9776,4695276.777,95
"28",273582.7073,4695158.464,95
"29",273574.8331,4695169.836,52
"30",273517.518,4695308.869,95
"31",273584.7842,4695265.893,95
"32",273533.2048,4695284.238,95
"33",273572.2796,4695006.951,90
"34",273008.6352,4693385.54,11
"35",273477.9999,4693451.925,11
"36",273572.3151,4695262.628,95
"37",273591.0808,4695289.812,95
"38",273585.9012,4695343.672,95
"39",273571.312,4695358.929,95
"40",273571.034,4695266.338,95
"41",273559.3438,4695327.857,95
"42",273480.644,4695274.824,95
"43",273878.2609,4695165.577,52
"44",273508.1418,4695233.136,95
"45",273490.5184,4695281.952,95
"46",273542.9967,4695291.369,95
"47",273565.1996,4695170.148,52
"48",273528.1467,4695382.56,52
"49",273451.7652,4695273.869,95
"50",273559.7668,4695129.637,95
"51",273444.9943,4695105.563,95
"52",273483.9635,4695163.552,95
"53",273566.3009,4695160.885,95
"54",273536.4837,4695258.23,95
"55",273479.4072,4695193.38,95
"56",273375.1255,4695281.911,52
"57",273506.547,4694929.375,52
"58",273489.2205,4695198.621,95
"59",273544.6764,4695172.702,95
"60",273375.7841,4695131.817,52
"61",273564.0826,4695092.369,52
"62",273506.587,4695225.849,95
"63",273520.6721,4695238.288,95
"64",273495.3129,4695218.766,52
"65",273570.0967,4695194.112,52
